ft_id,db_id,label
FT_ID_492,dbpedia_5677,True
FT_ID_362,dbpedia_5902,True
FT_ID_1273,dbpedia_5821,True
FT_ID_1781,dbpedia_2620,True
FT_ID_273,dbpedia_1604,True
FT_ID_1949,dbpedia_805,True
FT_ID_411,dbpedia_2630,True
FT_ID_22,dbpedia_6243,True
FT_ID_885,dbpedia_3547,True
FT_ID_300,dbpedia_1254,True
FT_ID_1284,dbpedia_524,True
FT_ID_1763,dbpedia_3253,True
FT_ID_288,dbpedia_3867,True
FT_ID_640,dbpedia_6554,True
FT_ID_0,dbpedia_409,True
FT_ID_162,dbpedia_1117,True
FT_ID_66,dbpedia_3928,True
FT_ID_1599,dbpedia_3766,True
FT_ID_1407,dbpedia_5269,True
FT_ID_225,dbpedia_72,True
FT_ID_811,dbpedia_900,True
FT_ID_1902,dbpedia_2253,True
FT_ID_409,dbpedia_3868,True
FT_ID_447,dbpedia_651,True
FT_ID_667,dbpedia_727,True
FT_ID_1285,dbpedia_3715,True
FT_ID_1705,dbpedia_1990,True
FT_ID_831,dbpedia_5990,True
FT_ID_1247,dbpedia_2304,True
FT_ID_155,dbpedia_6330,True
FT_ID_1529,dbpedia_4571,True
FT_ID_752,dbpedia_521,True
FT_ID_320,dbpedia_5256,True
FT_ID_1169,dbpedia_2360,True
FT_ID_1106,dbpedia_2622,True
FT_ID_1950,dbpedia_224,True
FT_ID_1395,dbpedia_5356,True
FT_ID_164,dbpedia_5622,True
FT_ID_76,dbpedia_402,True
FT_ID_1428,dbpedia_1350,True
FT_ID_554,dbpedia_3260,True
FT_ID_1793,dbpedia_2192,True
FT_ID_83,dbpedia_4114,True
FT_ID_620,dbpedia_6345,True
FT_ID_729,dbpedia_557,True
FT_ID_1053,dbpedia_2213,True
FT_ID_1020,dbpedia_1246,True
FT_ID_85,dbpedia_5696,True
FT_ID_168,dbpedia_2642,True
FT_ID_1464,dbpedia_5757,True
FT_ID_221,dbpedia_6,True
FT_ID_842,dbpedia_5353,True
FT_ID_1534,dbpedia_4728,True
FT_ID_617,dbpedia_4330,True
FT_ID_594,dbpedia_4582,True
FT_ID_598,dbpedia_2777,True
FT_ID_119,dbpedia_4267,True
FT_ID_1627,dbpedia_2447,True
FT_ID_1555,dbpedia_3131,True
FT_ID_613,dbpedia_781,True
FT_ID_466,dbpedia_3025,True
FT_ID_1503,dbpedia_2820,True
FT_ID_428,dbpedia_3161,True
FT_ID_1011,dbpedia_322,True
FT_ID_390,dbpedia_865,True
FT_ID_439,dbpedia_742,True
