ft_id,db_id,label
FT_ID_224,dbpedia_1194,True
FT_ID_1710,dbpedia_2189,True
FT_ID_1050,dbpedia_3027,True
FT_ID_1194,dbpedia_811,True
FT_ID_1194,dbpedia_3352,True
FT_ID_522,dbpedia_4098,True
FT_ID_1509,dbpedia_1916,True
FT_ID_705,dbpedia_6697,True
FT_ID_75,dbpedia_5417,True
FT_ID_83,dbpedia_4114,True
FT_ID_602,dbpedia_20,True
FT_ID_1840,dbpedia_2455,True
FT_ID_1450,dbpedia_5,True
FT_ID_1534,dbpedia_4728,True
FT_ID_144,dbpedia_2134,True
FT_ID_144,dbpedia_3396,True
FT_ID_749,dbpedia_2779,True
FT_ID_1926,dbpedia_3561,True
FT_ID_1968,dbpedia_6009,True
FT_ID_35,dbpedia_1325,True
FT_ID_1599,dbpedia_3766,True
FT_ID_23,dbpedia_4813,True
FT_ID_23,dbpedia_6706,True
FT_ID_1068,dbpedia_2010,True
FT_ID_142,dbpedia_1469,True
FT_ID_280,dbpedia_1831,True
FT_ID_1474,dbpedia_3484,True
FT_ID_958,dbpedia_1553,True
FT_ID_1301,dbpedia_2680,True
FT_ID_1459,dbpedia_4070,True
FT_ID_1151,dbpedia_6833,True
FT_ID_1839,dbpedia_6547,True
FT_ID_1503,dbpedia_2820,True
FT_ID_1950,dbpedia_224,True
FT_ID_484,dbpedia_636,True
FT_ID_260,dbpedia_3626,True
FT_ID_1408,dbpedia_4012,True
FT_ID_121,dbpedia_3849,True
FT_ID_557,dbpedia_15,True
FT_ID_248,dbpedia_522,True
FT_ID_1169,dbpedia_2360,True
FT_ID_1169,dbpedia_2994,True
FT_ID_1169,dbpedia_4229,True
FT_ID_1169,dbpedia_5480,True
FT_ID_1915,dbpedia_6004,True
FT_ID_871,dbpedia_5752,True
FT_ID_625,dbpedia_3457,True
FT_ID_625,dbpedia_6563,True
FT_ID_1373,dbpedia_1671,True
FT_ID_1008,dbpedia_5822,True
FT_ID_361,dbpedia_6708,True
FT_ID_1160,dbpedia_1453,True
FT_ID_61,dbpedia_3021,True
FT_ID_61,dbpedia_6739,True
FT_ID_466,dbpedia_3025,True
FT_ID_411,dbpedia_2630,True
FT_ID_1928,dbpedia_5378,True
FT_ID_1395,dbpedia_5356,True
FT_ID_1781,dbpedia_2620,True
FT_ID_343,dbpedia_6841,True
FT_ID_714,dbpedia_4382,True
FT_ID_187,dbpedia_2827,True
FT_ID_235,dbpedia_541,True
FT_ID_467,dbpedia_6042,True
FT_ID_1570,dbpedia_1057,True
FT_ID_892,dbpedia_6904,True
FT_ID_1383,dbpedia_5636,True
FT_ID_0,dbpedia_409,True
FT_ID_1890,dbpedia_660,True
FT_ID_1800,dbpedia_2638,True
FT_ID_1402,dbpedia_646,True
FT_ID_1402,dbpedia_5685,True
FT_ID_589,dbpedia_1970,True
FT_ID_920,dbpedia_845,True
FT_ID_523,dbpedia_1386,True
FT_ID_1624,dbpedia_3607,True
FT_ID_201,dbpedia_1659,True
FT_ID_613,dbpedia_781,True
FT_ID_579,dbpedia_6268,True
FT_ID_1190,dbpedia_6235,True
FT_ID_181,dbpedia_3015,True
FT_ID_174,dbpedia_5769,True
FT_ID_135,dbpedia_6858,True
FT_ID_21,dbpedia_5334,True
FT_ID_1689,dbpedia_2941,True
FT_ID_571,dbpedia_6429,True
FT_ID_777,dbpedia_2975,True
FT_ID_863,dbpedia_2913,True
FT_ID_863,dbpedia_4143,True
FT_ID_1576,dbpedia_5963,True
FT_ID_1506,dbpedia_6798,True
FT_ID_652,dbpedia_3026,True
