db_id;sevM_id;LevScore;db;sevMil;label
dbpedia_1017;7.1m_151;1.0;the coca-cola company;the coca-cola company;TRUE
dbpedia_5227;7.1m_769;1.0;suncor energy;suncor energy;TRUE
dbpedia_6200;7.1m_105;1.0;roche;roche;TRUE
dbpedia_124;7.1m_114;1.0;halliburton;halliburton;TRUE
dbpedia_2698;7.1m_1595;1.0;eastman chemical company;eastman chemical company;TRUE
dbpedia_6690;7.1m_469;1.0;charter communications;charter communications;TRUE
dbpedia_3266;7.1m_87;1.0;bnp paribas;bnp paribas;TRUE
dbpedia_3411;7.1m_46;1.0;pfizer;pfizer;TRUE
dbpedia_5993;7.1m_772;1.0;c&a;c&a;TRUE
dbpedia_4862;7.1m_121;1.0;banco santander;banco santander;TRUE
dbpedia_5046;7.1m_550;1.0;telus;telus;TRUE
dbpedia_2600;7.1m_1939;1.0;equifax;equifax;TRUE
dbpedia_4581;7.1m_421;1.0;syngenta;syngenta;TRUE
dbpedia_2240;7.1m_1732;1.0;celestica;celestica;TRUE
dbpedia_3778;7.1m_1182;1.0;mazars;mazars;TRUE
dbpedia_1807;7.1m_53;1.0;honeywell;honeywell;TRUE
dbpedia_4271;7.1m_109;1.0;thomson reuters;thomson reuters;TRUE
dbpedia_4315;7.1m_1043;1.0;iheartmedia;iheartmedia;TRUE
dbpedia_3849;7.1m_162;1.0;airbus;airbus;TRUE
dbpedia_3490;7.1m_1139;1.0;bridgestone;bridgestone;TRUE
dbpedia_1635;7.1m_765;1.0;correios;correios;TRUE
dbpedia_2877;7.1m_344;1.0;british american tobacco;british american tobacco;TRUE
dbpedia_6325;7.1m_1623;1.0;molina healthcare;molina healthcare;TRUE
dbpedia_3287;7.1m_816;1.0;sandvik;sandvik;TRUE
dbpedia_6127;7.1m_1022;1.0;bain & company;bain & company;TRUE
dbpedia_2641;7.1m_255;1.0;qualcomm;qualcomm;TRUE
dbpedia_2818;7.1m_60;1.0;starbucks;starbucks;TRUE
dbpedia_5717;7.1m_1714;1.0;abm industries;abm industries;TRUE
dbpedia_1175;7.1m_814;1.0;repsol;repsol;TRUE
dbpedia_4886;7.1m_386;1.0;faurecia;faurecia;TRUE
dbpedia_6849;7.1m_657;1.0;wns global services;wns global services;TRUE
dbpedia_6576;7.1m_47;1.0;unilever;unilever;TRUE
dbpedia_4865;7.1m_1060;1.0;bed bath & beyond;bed bath & beyond;TRUE
dbpedia_3914;7.1m_848;1.0;saudi telecom company;saudi telecom company;TRUE
dbpedia_4005;7.1m_306;1.0;philip morris international;philip morris international;TRUE
dbpedia_3588;7.1m_1863;1.0;beiersdorf;beiersdorf;TRUE
dbpedia_618;7.1m_719;1.0;infor;infor;TRUE
dbpedia_314;7.1m_163;1.0;capital one;capital one;TRUE
dbpedia_5669;7.1m_918;1.0;keybank;keybank;TRUE
dbpedia_3269;7.1m_280;1.0;primerica;primerica;TRUE
dbpedia_5713;7.1m_740;1.0;telefônica brasil;telefônica brasil;TRUE
dbpedia_2682;7.1m_813;1.0;air canada;air canada;TRUE
dbpedia_2042;7.1m_55;1.0;schlumberger;schlumberger;TRUE
dbpedia_1133;7.1m_1828;1.0;princess cruises;princess cruises;TRUE
dbpedia_5140;7.1m_1647;1.0;sfr;sfr;TRUE
dbpedia_816;7.1m_966;1.0;swiss re;swiss re;TRUE
dbpedia_3625;7.1m_471;1.0;jabil;jabil;TRUE
dbpedia_5853;7.1m_1543;1.0;subsea 7;subsea 7;TRUE
dbpedia_2762;7.1m_33;1.0;boeing;boeing;TRUE
dbpedia_6105;7.1m_94;1.0;kpmg;kpmg;TRUE
dbpedia_4328;7.1m_1526;1.0;ochsner health system;ochsner health system;TRUE
dbpedia_416;7.1m_290;1.0;foxconn;foxconn;TRUE
dbpedia_3401;7.1m_1303;1.0;lyondellbasell;lyondellbasell;TRUE
dbpedia_5343;7.1m_1586;1.0;burberry;burberry;TRUE
dbpedia_2806;7.1m_941;1.0;red hat;red hat;TRUE
dbpedia_910;7.1m_808;1.0;netapp;netapp;TRUE
dbpedia_6407;7.1m_1935;1.0;laing o'rourke;laing o'rourke;TRUE
dbpedia_2827;7.1m_320;1.0;arcelormittal;arcelormittal;TRUE
dbpedia_4800;7.1m_126;1.0;allstate;allstate;TRUE
dbpedia_1544;7.1m_1415;1.0;panalpina;panalpina;TRUE
dbpedia_4222;7.1m_1334;1.0;frieslandcampina;frieslandcampina;TRUE
dbpedia_72;7.1m_68;1.0;schneider electric;schneider electric;TRUE
dbpedia_2939;7.1m_1947;1.0;tenneco;tenneco;TRUE
dbpedia_4424;7.1m_1457;1.0;metso;metso;TRUE
dbpedia_4545;7.1m_1321;1.0;ahold;ahold;TRUE
dbpedia_3410;7.1m_872;1.0;national bank of canada;national bank of canada;TRUE
dbpedia_1346;7.1m_1174;1.0;assurant;assurant;TRUE
dbpedia_5911;7.1m_224;1.0;hilton worldwide;hilton worldwide;TRUE
dbpedia_3536;7.1m_751;1.0;kone;kone;TRUE
dbpedia_5692;7.1m_1171;1.0;totvs;totvs;TRUE
dbpedia_6005;7.1m_380;1.0;cardinal health;cardinal health;TRUE
dbpedia_3281;7.1m_1736;1.0;safran aircraft engines;safran aircraft engines;TRUE
dbpedia_3646;7.1m_1257;1.0;family dollar;family dollar;TRUE
dbpedia_4796;7.1m_1507;1.0;american electric power;american electric power;TRUE
dbpedia_718;7.1m_1405;1.0;albertsons;albertsons;TRUE
dbpedia_4070;7.1m_244;1.0;valeo;valeo;TRUE
dbpedia_5413;7.1m_375;1.0;texas instruments;texas instruments;TRUE
dbpedia_987;7.1m_866;1.0;cox communications;cox communications;TRUE
dbpedia_2713;7.1m_1049;1.0;el corte inglés;el corte inglés;TRUE
dbpedia_1332;7.1m_1791;1.0;mutual of omaha;mutual of omaha;TRUE
dbpedia_5371;7.1m_185;1.0;caterpillar inc.;caterpillar inc.;TRUE
