db_id,sevM_id,LevScore,db,sevMil,label
dbpedia_5248,7.1m_234,1.0,boehringer ingelheim,boehringer ingelheim,True
dbpedia_4098,7.1m_25,1.0,capgemini,capgemini,True
dbpedia_3630,7.1m_97,1.0,barclays,barclays,True
dbpedia_1,7.1m_1546,1.0,alten,alten,True
dbpedia_3107,7.1m_439,1.0,sony,sony,True
dbpedia_2046,7.1m_1839,1.0,acosta sales & marketing,acosta sales & marketing,True
dbpedia_2777,7.1m_623,1.0,m&t bank,m&t bank,True
dbpedia_1117,7.1m_229,1.0,fedex,fedex,True
dbpedia_2865,7.1m_1687,1.0,under armour,under armour,True
dbpedia_3385,7.1m_300,1.0,boston scientific,boston scientific,True
dbpedia_1962,7.1m_173,1.0,aecom,aecom,True
dbpedia_3812,7.1m_129,1.0,telefónica,telefónica,True
dbpedia_1307,7.1m_480,1.0,technip,technip,True
dbpedia_3447,7.1m_892,1.0,arthur j. gallagher & co.,arthur j. gallagher & co.,True
dbpedia_3055,7.1m_1746,1.0,federal-mogul,federal-mogul,True
dbpedia_742,7.1m_1320,1.0,principal financial group,principal financial group,True
dbpedia_727,7.1m_1212,1.0,autozone,autozone,True
dbpedia_6466,7.1m_1140,1.0,genesis healthcare,genesis healthcare,True
dbpedia_3062,7.1m_659,1.0,mastercard,mastercard,True
dbpedia_340,7.1m_1304,1.0,cracker barrel,cracker barrel,True
dbpedia_6678,7.1m_253,1.0,allianz,allianz,True
dbpedia_193,7.1m_997,1.0,natixis,natixis,True
dbpedia_6363,7.1m_1157,1.0,autoliv,autoliv,True
dbpedia_4326,7.1m_205,1.0,novo nordisk,novo nordisk,True
dbpedia_4940,7.1m_855,1.0,robert half,robert half,True
dbpedia_2047,7.1m_266,1.0,adidas,adidas,True
dbpedia_1690,7.1m_618,1.0,american family insurance,american family insurance,True
dbpedia_1467,7.1m_454,1.0,sun life financial,sun life financial,True
dbpedia_1671,7.1m_1946,1.0,wolters kluwer,wolters kluwer,True
dbpedia_4996,7.1m_577,1.0,grant thornton llp,grant thornton llp,True
dbpedia_3412,7.1m_316,1.0,ncr corporation,ncr corporation,True
dbpedia_1720,7.1m_527,1.0,four seasons hotels and resorts,four seasons hotels and resorts,True
dbpedia_3507,7.1m_1643,1.0,coca-cola amatil,coca-cola amatil,True
dbpedia_2607,7.1m_1971,1.0,asus,asus,True
dbpedia_321,7.1m_786,1.0,concentrix,concentrix,True
dbpedia_402,7.1m_106,1.0,american express,american express,True
dbpedia_4155,7.1m_774,1.0,kindred healthcare,kindred healthcare,True
dbpedia_6879,7.1m_1631,1.0,menards,menards,True
dbpedia_924,7.1m_372,1.0,vmware,vmware,True
dbpedia_1470,7.1m_76,1.0,ubs,ubs,True
dbpedia_3133,7.1m_1551,1.0,givaudan,givaudan,True
dbpedia_352,7.1m_332,1.0,kimberly-clark,kimberly-clark,True
dbpedia_5850,7.1m_302,1.0,lenovo,lenovo,True
dbpedia_3787,7.1m_1307,1.0,millicom,millicom,True
dbpedia_4226,7.1m_1209,1.0,frontier communications,frontier communications,True
dbpedia_749,7.1m_273,1.0,dupont,dupont,True
dbpedia_4164,7.1m_1930,1.0,korn ferry,korn ferry,True
dbpedia_5161,7.1m_442,1.0,serco,serco,True
dbpedia_4373,7.1m_34,1.0,vodafone,vodafone,True
