ft_id,db_id,LevScore,ft,dbpedia,label
ft_id_959,dbpedia_6248,1.0,voya financial,voya financial,True
ft_id_298,dbpedia_1034,1.0,amerisourcebergen,amerisourcebergen,True
ft_id_676,dbpedia_1847,1.0,republic services,republic services,True
ft_id_1372,dbpedia_910,1.0,netapp,netapp,True
ft_id_42,dbpedia_3411,1.0,pfizer,pfizer,True
ft_id_121,dbpedia_3849,1.0,airbus,airbus,True
ft_id_799,dbpedia_2590,1.0,westrock,westrock,True
ft_id_351,dbpedia_6537,1.0,standard chartered,standard chartered,True
ft_id_1894,dbpedia_3850,1.0,essex property trust,essex property trust,True
ft_id_1008,dbpedia_5822,1.0,ebay,ebay,True
ft_id_884,dbpedia_3648,1.0,expeditors international,expeditors international,True
ft_id_432,dbpedia_3410,1.0,national bank of canada,national bank of canada,True
ft_id_1734,dbpedia_3096,1.0,rite aid,rite aid,True
ft_id_1964,dbpedia_3477,1.0,veon,veon,True
ft_id_1800,dbpedia_2638,1.0,doordash,doordash,True
ft_id_243,dbpedia_2872,1.0,cosco shipping,cosco shipping,True
ft_id_135,dbpedia_6858,1.0,iberdrola,iberdrola,True
ft_id_421,dbpedia_4563,1.0,lennar,lennar,True
ft_id_1864,dbpedia_1920,1.0,inventec,inventec,True
ft_id_807,dbpedia_1833,1.0,mapfre,mapfre,True
ft_id_347,dbpedia_2042,1.0,schlumberger,schlumberger,True
ft_id_512,dbpedia_5062,1.0,murata manufacturing,murata manufacturing,True
ft_id_1856,dbpedia_279,1.0,veeva systems,veeva systems,True
ft_id_1598,dbpedia_6399,1.0,samsung electro-mechanics,samsung electro-mechanics,True
ft_id_567,dbpedia_2106,1.0,swedbank,swedbank,True
ft_id_14,dbpedia_4278,1.0,exxonmobil,exxonmobil,True
ft_id_1859,dbpedia_2673,1.0,abrdn,abrdn,True
ft_id_30,dbpedia_1066,1.0,china mobile,china mobile,True
ft_id_547,dbpedia_1689,1.0,analog devices,analog devices,True
ft_id_619,dbpedia_415,1.0,china steel,china steel,True
ft_id_1560,dbpedia_3939,1.0,eqt,eqt,True
ft_id_1890,dbpedia_660,1.0,pennymac financial services,pennymac financial services,True
ft_id_1623,dbpedia_4395,1.0,investec,investec,True
ft_id_1414,dbpedia_4886,1.0,faurecia,faurecia,True
ft_id_175,dbpedia_2062,1.0,dell technologies,dell technologies,True
ft_id_1278,dbpedia_990,1.0,dassault aviation,dassault aviation,True
ft_id_234,dbpedia_1467,1.0,sun life financial,sun life financial,True
ft_id_739,dbpedia_1563,1.0,asahi kasei,asahi kasei,True
ft_id_1312,dbpedia_901,1.0,arista networks,arista networks,True
ft_id_279,dbpedia_1317,1.0,asml holding,asml holding,True
ft_id_255,dbpedia_905,1.0,nextera energy,nextera energy,True
ft_id_1317,dbpedia_5349,1.0,brighthouse financial,brighthouse financial,True
ft_id_1860,dbpedia_68,1.0,qurate retail group,qurate retail group,True
ft_id_1194,dbpedia_811,1.0,suning.com,suning.com,True
ft_id_665,dbpedia_359,1.0,kyocera,kyocera,True
ft_id_1190,dbpedia_6235,1.0,voestalpine,voestalpine,True
ft_id_501,dbpedia_4877,1.0,sherwin-williams,sherwin-williams,True
ft_id_285,dbpedia_5616,1.0,posco,posco,True
ft_id_756,dbpedia_1171,1.0,omnicom group,omnicom group,True
ft_id_1935,dbpedia_241,1.0,ansys,ansys,True
ft_id_876,dbpedia_4725,1.0,commerzbank,commerzbank,True
ft_id_931,dbpedia_6211,1.0,snam,snam,True
ft_id_508,dbpedia_1360,1.0,dish network,dish network,True
ft_id_777,dbpedia_2975,1.0,amphenol,amphenol,True
ft_id_369,dbpedia_6091,1.0,fortescue metals group,fortescue metals group,True
ft_id_247,dbpedia_2412,1.0,exelon,exelon,True
ft_id_1747,dbpedia_5401,1.0,johnson matthey,johnson matthey,True
