ft_id,sevM_id,LevScore,ft,sevMil,label
ft_id_1587,7.1m_123,1.0,dxc technology,dxc technology,True
ft_id_812,7.1m_1506,1.0,united rentals,united rentals,True
ft_id_1767,7.1m_1132,1.0,newell brands,newell brands,True
ft_id_384,7.1m_1,1.0,tata consultancy services,tata consultancy services,True
ft_id_487,7.1m_1097,1.0,pernod ricard,pernod ricard,True
ft_id_463,7.1m_1139,1.0,bridgestone,bridgestone,True
ft_id_410,7.1m_631,1.0,etisalat,etisalat,True
ft_id_373,7.1m_1098,1.0,woolworths,woolworths,True
ft_id_656,7.1m_1254,1.0,western digital,western digital,True
ft_id_45,7.1m_48,1.0,nestlé,nestlé,True
ft_id_1430,7.1m_1781,1.0,henry schein,henry schein,True
ft_id_1603,7.1m_1360,1.0,workday,workday,True
ft_id_676,7.1m_1041,1.0,republic services,republic services,True
ft_id_1099,7.1m_788,1.0,paychex,paychex,True
ft_id_1063,7.1m_517,1.0,telenor,telenor,True
ft_id_1529,7.1m_831,1.0,us foods,us foods,True
ft_id_297,7.1m_408,1.0,unicredit,unicredit,True
ft_id_686,7.1m_218,1.0,iqvia,iqvia,True
ft_id_808,7.1m_44,1.0,hcl technologies,hcl technologies,True
ft_id_450,7.1m_664,1.0,waste management,waste management,True
ft_id_396,7.1m_245,1.0,eaton,eaton,True
ft_id_479,7.1m_34,1.0,vodafone,vodafone,True
ft_id_972,7.1m_603,1.0,sasol,sasol,True
ft_id_1140,7.1m_993,1.0,ulta beauty,ulta beauty,True
ft_id_896,7.1m_751,1.0,kone,kone,True
ft_id_407,7.1m_646,1.0,tata steel,tata steel,True
ft_id_1448,7.1m_1915,1.0,servicenow,servicenow,True
ft_id_124,7.1m_47,1.0,unilever,unilever,True
ft_id_63,7.1m_272,1.0,bmw group,bmw group,True
ft_id_19,7.1m_9,1.0,at&t,at&t,True
ft_id_399,7.1m_977,1.0,jbs,jbs,True
ft_id_172,7.1m_558,1.0,blackrock,blackrock,True
ft_id_153,7.1m_147,1.0,hdfc bank,hdfc bank,True
ft_id_1127,7.1m_1513,1.0,lululemon athletica,lululemon athletica,True
ft_id_225,7.1m_68,1.0,schneider electric,schneider electric,True
ft_id_240,7.1m_1654,1.0,netflix,netflix,True
ft_id_1268,7.1m_1255,1.0,canadian tire,canadian tire,True
ft_id_429,7.1m_33,1.0,boeing,boeing,True
ft_id_484,7.1m_1525,1.0,maybank,maybank,True
ft_id_46,7.1m_154,1.0,rbc,rbc,True
ft_id_1273,7.1m_989,1.0,dick's sporting goods,dick's sporting goods,True
ft_id_301,7.1m_60,1.0,starbucks,starbucks,True
ft_id_347,7.1m_55,1.0,schlumberger,schlumberger,True
ft_id_276,7.1m_626,1.0,national grid,national grid,True
ft_id_439,7.1m_1320,1.0,principal financial group,principal financial group,True
ft_id_209,7.1m_312,1.0,amgen,amgen,True
ft_id_147,7.1m_624,1.0,visa,visa,True
ft_id_263,7.1m_446,1.0,air liquide,air liquide,True
ft_id_368,7.1m_1724,1.0,csx,csx,True
ft_id_953,7.1m_1444,1.0,bank of baroda,bank of baroda,True
ft_id_623,7.1m_532,1.0,international paper,international paper,True
ft_id_1204,7.1m_556,1.0,leidos,leidos,True
ft_id_847,7.1m_564,1.0,compass group,compass group,True
ft_id_41,7.1m_113,1.0,cvs health,cvs health,True
ft_id_101,7.1m_76,1.0,ubs,ubs,True
ft_id_569,7.1m_844,1.0,infineon technologies,infineon technologies,True
ft_id_317,7.1m_776,1.0,tyson foods,tyson foods,True
ft_id_1079,7.1m_112,1.0,cgi,cgi,True
ft_id_348,7.1m_375,1.0,texas instruments,texas instruments,True
ft_id_1075,7.1m_335,1.0,agilent technologies,agilent technologies,True
ft_id_22,7.1m_7,1.0,walmart,walmart,True
ft_id_508,7.1m_1290,1.0,dish network,dish network,True
ft_id_1128,7.1m_1393,1.0,bath & body works,bath & body works,True
ft_id_436,7.1m_266,1.0,adidas,adidas,True
ft_id_807,7.1m_628,1.0,mapfre,mapfre,True
ft_id_1292,7.1m_397,1.0,nedbank,nedbank,True
ft_id_132,7.1m_146,1.0,basf,basf,True
ft_id_596,7.1m_507,1.0,rogers communications,rogers communications,True
ft_id_408,7.1m_500,1.0,heineken,heineken,True
ft_id_110,7.1m_481,1.0,eni,eni,True
ft_id_1459,7.1m_244,1.0,valeo,valeo,True
ft_id_998,7.1m_1623,1.0,molina healthcare,molina healthcare,True
ft_id_1052,7.1m_821,1.0,c.h. robinson,c.h. robinson,True
ft_id_1422,7.1m_382,1.0,adecco,adecco,True
ft_id_273,7.1m_1356,1.0,caixabank,caixabank,True
ft_id_629,7.1m_340,1.0,southwest airlines,southwest airlines,True
ft_id_1729,7.1m_84,1.0,tech mahindra,tech mahindra,True
ft_id_1022,7.1m_1522,1.0,unum,unum,True
ft_id_11,7.1m_8,1.0,microsoft,microsoft,True
ft_id_168,7.1m_54,1.0,sap,sap,True
ft_id_1203,7.1m_1863,1.0,beiersdorf,beiersdorf,True
ft_id_179,7.1m_1029,1.0,e.on,e.on,True
ft_id_42,7.1m_46,1.0,pfizer,pfizer,True
ft_id_119,7.1m_197,1.0,thermo fisher scientific,thermo fisher scientific,True
ft_id_190,7.1m_732,1.0,micron technology,micron technology,True
ft_id_1466,7.1m_324,1.0,sgs,sgs,True
ft_id_661,7.1m_565,1.0,atlas copco,atlas copco,True
ft_id_366,7.1m_1549,1.0,china unicom,china unicom,True
ft_id_1178,7.1m_1148,1.0,fastenal,fastenal,True
ft_id_469,7.1m_585,1.0,fifth third bank,fifth third bank,True
ft_id_1238,7.1m_1091,1.0,synopsys,synopsys,True
ft_id_65,7.1m_1198,1.0,deutsche telekom,deutsche telekom,True
ft_id_1297,7.1m_473,1.0,skanska,skanska,True
ft_id_329,7.1m_356,1.0,danone,danone,True
ft_id_839,7.1m_942,1.0,nomura,nomura,True
ft_id_67,7.1m_65,1.0,novartis,novartis,True
ft_id_1453,7.1m_1185,1.0,advance auto parts,advance auto parts,True
ft_id_130,7.1m_518,1.0,manulife,manulife,True
ft_id_105,7.1m_203,1.0,state bank of india,state bank of india,True
ft_id_1555,7.1m_1117,1.0,globalfoundries,globalfoundries,True
ft_id_941,7.1m_1905,1.0,amcor,amcor,True
ft_id_556,7.1m_200,1.0,willis towers watson,willis towers watson,True
ft_id_234,7.1m_454,1.0,sun life financial,sun life financial,True
ft_id_202,7.1m_126,1.0,allstate,allstate,True
ft_id_967,7.1m_593,1.0,quest diagnostics,quest diagnostics,True
ft_id_261,7.1m_769,1.0,suncor energy,suncor energy,True
ft_id_432,7.1m_872,1.0,national bank of canada,national bank of canada,True
ft_id_358,7.1m_688,1.0,dollar general,dollar general,True
ft_id_320,7.1m_1484,1.0,holcim,holcim,True
ft_id_464,7.1m_1758,1.0,emirates nbd,emirates nbd,True
ft_id_1763,7.1m_1728,1.0,akamai technologies,akamai technologies,True
ft_id_106,7.1m_262,1.0,commonwealth bank,commonwealth bank,True
ft_id_229,7.1m_1126,1.0,southern company,southern company,True
ft_id_17,7.1m_12,1.0,wells fargo,wells fargo,True
ft_id_117,7.1m_207,1.0,vale,vale,True
ft_id_1212,7.1m_919,1.0,experian,experian,True
ft_id_1228,7.1m_806,1.0,zimmer biomet,zimmer biomet,True
ft_id_947,7.1m_1572,1.0,sanlam,sanlam,True
ft_id_952,7.1m_1955,1.0,braskem,braskem,True
ft_id_528,7.1m_95,1.0,orange,orange,True
ft_id_109,7.1m_764,1.0,enel,enel,True
ft_id_100,7.1m_344,1.0,british american tobacco,british american tobacco,True
ft_id_96,7.1m_195,1.0,lloyds banking group,lloyds banking group,True
ft_id_121,7.1m_162,1.0,airbus,airbus,True
ft_id_370,7.1m_699,1.0,danske bank,danske bank,True
ft_id_1785,7.1m_115,1.0,atos,atos,True
ft_id_1120,7.1m_491,1.0,rockwell automation,rockwell automation,True
ft_id_907,7.1m_738,1.0,seagate technology,seagate technology,True
ft_id_983,7.1m_1141,1.0,arrow electronics,arrow electronics,True
ft_id_872,7.1m_639,1.0,zte,zte,True
ft_id_361,7.1m_1660,1.0,freddie mac,freddie mac,True
ft_id_196,7.1m_129,1.0,telefónica,telefónica,True
ft_id_284,7.1m_205,1.0,novo nordisk,novo nordisk,True
ft_id_1373,7.1m_1946,1.0,wolters kluwer,wolters kluwer,True
ft_id_1478,7.1m_728,1.0,gartner,gartner,True
ft_id_728,7.1m_455,1.0,tata motors,tata motors,True
ft_id_49,7.1m_67,1.0,bp,bp,True
ft_id_679,7.1m_380,1.0,cardinal health,cardinal health,True
ft_id_73,7.1m_175,1.0,metlife,metlife,True
ft_id_6,7.1m_20,1.0,apple,apple,True
ft_id_180,7.1m_943,1.0,anglo american,anglo american,True
ft_id_1517,7.1m_1495,1.0,agility,agility,True
ft_id_419,7.1m_31,1.0,ericsson,ericsson,True
ft_id_976,7.1m_637,1.0,cintas,cintas,True
ft_id_909,7.1m_1273,1.0,avis budget group,avis budget group,True
ft_id_84,7.1m_367,1.0,prudential financial,prudential financial,True
ft_id_1541,7.1m_954,1.0,ingersoll rand,ingersoll rand,True
ft_id_162,7.1m_229,1.0,fedex,fedex,True
ft_id_680,7.1m_1487,1.0,carmax,carmax,True
ft_id_1155,7.1m_834,1.0,old mutual,old mutual,True
ft_id_62,7.1m_77,1.0,procter & gamble,procter & gamble,True
ft_id_472,7.1m_284,1.0,fujitsu,fujitsu,True
ft_id_92,7.1m_539,1.0,anheuser-busch inbev,anheuser-busch inbev,True
ft_id_1414,7.1m_386,1.0,faurecia,faurecia,True
ft_id_149,7.1m_42,1.0,target,target,True
ft_id_430,7.1m_609,1.0,general mills,general mills,True
ft_id_866,7.1m_1362,1.0,bank of ireland,bank of ireland,True
ft_id_1093,7.1m_529,1.0,telecom italia,telecom italia,True
ft_id_375,7.1m_398,1.0,adobe,adobe,True
ft_id_536,7.1m_1548,1.0,toshiba,toshiba,True
ft_id_1847,7.1m_851,0.9696969696969697,amadeus it group ,amadeus it group,False
ft_id_684,7.1m_1267,0.9411764705882353,transneft,transnet,False
ft_id_1980,7.1m_468,0.9189189189189189,wt microelectronics,stmicroelectronics,False
ft_id_170,7.1m_726,0.9090909090909091,engie ,engie,False
