ft_id,db_id,LevScore,ft,dbpedia,label
FT_ID_492,dbpedia_5677,1.0,mitsui fudosan,mitsui fudosan,True
FT_ID_362,dbpedia_5902,1.0,hewlett packard enterprise,hewlett packard enterprise,True
FT_ID_1273,dbpedia_5821,1.0,dick's sporting goods,dick's sporting goods,True
FT_ID_1781,dbpedia_2620,1.0,avnet,avnet,True
FT_ID_273,dbpedia_1604,1.0,caixabank,caixabank,True
FT_ID_1949,dbpedia_805,1.0,healthpeak properties,healthpeak properties,True
FT_ID_411,dbpedia_2630,1.0,bt group,bt group,True
FT_ID_22,dbpedia_6243,1.0,walmart,walmart,True
FT_ID_885,dbpedia_3547,1.0,ternium,ternium,True
FT_ID_300,dbpedia_1254,1.0,inditex,inditex,True
FT_ID_1284,dbpedia_524,1.0,hydro one,hydro one,True
FT_ID_1763,dbpedia_3253,1.0,akamai technologies,akamai technologies,True
FT_ID_288,dbpedia_3867,1.0,dominion energy,dominion energy,True
FT_ID_640,dbpedia_6554,1.0,firstenergy,firstenergy,True
FT_ID_0,dbpedia_409,1.0,berkshire hathaway,berkshire hathaway,True
FT_ID_162,dbpedia_1117,1.0,fedex,fedex,True
FT_ID_66,dbpedia_3928,1.0,abbvie,abbvie,True
FT_ID_1599,dbpedia_3766,1.0,invitation homes,invitation homes,True
FT_ID_1407,dbpedia_5269,1.0,navient,navient,True
FT_ID_225,dbpedia_72,1.0,schneider electric,schneider electric,True
FT_ID_811,dbpedia_900,1.0,apollo global management,apollo global management,True
FT_ID_1902,dbpedia_2253,1.0,commerce bancshares,commerce bancshares,True
FT_ID_409,dbpedia_3868,1.0,bae systems,bae systems,True
FT_ID_447,dbpedia_651,1.0,tc energy,tc energy,True
FT_ID_667,dbpedia_727,1.0,autozone,autozone,True
FT_ID_1285,dbpedia_3715,1.0,sojitz,sojitz,True
FT_ID_1705,dbpedia_1990,1.0,eurobank ergasias,eurobank ergasias,True
FT_ID_831,dbpedia_5990,1.0,cms energy,cms energy,True
FT_ID_1247,dbpedia_2304,1.0,royal mail,royal mail,True
FT_ID_155,dbpedia_6330,1.0,munich re,munich re,True
FT_ID_1529,dbpedia_4571,1.0,us foods,us foods,True
FT_ID_752,dbpedia_521,1.0,huatai securities,huatai securities,True
FT_ID_320,dbpedia_5256,1.0,holcim,holcim,True
FT_ID_1169,dbpedia_2360,1.0,kajima,kajima,True
FT_ID_1106,dbpedia_2622,1.0,autonation,autonation,True
FT_ID_1950,dbpedia_224,1.0,steris,steris,True
FT_ID_1395,dbpedia_5356,1.0,brenntag,brenntag,True
FT_ID_164,dbpedia_5622,1.0,pnc financial services,pnc financial services,True
FT_ID_76,dbpedia_402,1.0,american express,american express,True
FT_ID_1428,dbpedia_1350,1.0,attijariwafa bank,attijariwafa bank,True
FT_ID_554,dbpedia_3260,1.0,dollar tree,dollar tree,True
FT_ID_1793,dbpedia_2192,1.0,ford otosan,ford otosan,True
FT_ID_83,dbpedia_4114,1.0,cigna,cigna,True
FT_ID_620,dbpedia_6345,1.0,eversource energy,eversource energy,True
FT_ID_729,dbpedia_557,1.0,simon property group,simon property group,True
FT_ID_1053,dbpedia_2213,1.0,verbund,verbund,True
FT_ID_1020,dbpedia_1246,1.0,goodman group,goodman group,True
FT_ID_85,dbpedia_5696,1.0,pepsico,pepsico,True
FT_ID_168,dbpedia_2642,1.0,sap,sap,True
FT_ID_1464,dbpedia_5757,1.0,avery dennison,avery dennison,True
FT_ID_221,dbpedia_6,1.0,mondelez international,mondelez international,True
FT_ID_842,dbpedia_5353,1.0,cdw,cdw,True
FT_ID_1534,dbpedia_4728,1.0,crown holdings,crown holdings,True
FT_ID_617,dbpedia_4330,1.0,northern trust,northern trust,True
FT_ID_594,dbpedia_4582,1.0,sysco,sysco,True
FT_ID_598,dbpedia_2777,1.0,m&t bank,m&t bank,True
FT_ID_119,dbpedia_4267,1.0,thermo fisher scientific,thermo fisher scientific,True
FT_ID_1627,dbpedia_2447,1.0,nortonlifelock,nortonlifelock,True
