db_id,sevM_id,label
dbpedia_1017,7.1m_151,True
dbpedia_5227,7.1m_769,True
dbpedia_6200,7.1m_105,True
dbpedia_124,7.1m_114,True
dbpedia_2698,7.1m_1595,True
dbpedia_6690,7.1m_469,True
dbpedia_3266,7.1m_87,True
dbpedia_3411,7.1m_46,True
dbpedia_5993,7.1m_772,True
dbpedia_4862,7.1m_121,True
dbpedia_5046,7.1m_550,True
dbpedia_2600,7.1m_1939,True
dbpedia_4581,7.1m_421,True
dbpedia_2240,7.1m_1732,True
dbpedia_3778,7.1m_1182,True
dbpedia_1807,7.1m_53,True
dbpedia_4271,7.1m_109,True
dbpedia_4315,7.1m_1043,True
dbpedia_3849,7.1m_162,True
dbpedia_3490,7.1m_1139,True
dbpedia_1635,7.1m_765,True
dbpedia_2877,7.1m_344,True
dbpedia_6325,7.1m_1623,True
dbpedia_3287,7.1m_816,True
dbpedia_6127,7.1m_1022,True
dbpedia_2641,7.1m_255,True
dbpedia_2818,7.1m_60,True
dbpedia_5717,7.1m_1714,True
dbpedia_1175,7.1m_814,True
dbpedia_4886,7.1m_386,True
dbpedia_6849,7.1m_657,True
dbpedia_6576,7.1m_47,True
dbpedia_4865,7.1m_1060,True
dbpedia_3914,7.1m_848,True
dbpedia_4005,7.1m_306,True
dbpedia_3588,7.1m_1863,True
dbpedia_618,7.1m_719,True
dbpedia_314,7.1m_163,True
dbpedia_5669,7.1m_918,True
dbpedia_3269,7.1m_280,True
dbpedia_5713,7.1m_740,True
dbpedia_2682,7.1m_813,True
dbpedia_2042,7.1m_55,True
dbpedia_1133,7.1m_1828,True
dbpedia_5140,7.1m_1647,True
dbpedia_816,7.1m_966,True
dbpedia_3625,7.1m_471,True
dbpedia_5853,7.1m_1543,True
dbpedia_2762,7.1m_33,True
dbpedia_6105,7.1m_94,True
dbpedia_4328,7.1m_1526,True
dbpedia_416,7.1m_290,True
dbpedia_3401,7.1m_1303,True
dbpedia_5343,7.1m_1586,True
dbpedia_2806,7.1m_941,True
dbpedia_910,7.1m_808,True
dbpedia_6407,7.1m_1935,True
dbpedia_2827,7.1m_320,True
dbpedia_4800,7.1m_126,True
dbpedia_1544,7.1m_1415,True
dbpedia_4222,7.1m_1334,True
dbpedia_72,7.1m_68,True
