ft_id,db_id,label
ft_id_492,dbpedia_5677,True
ft_id_362,dbpedia_5902,True
ft_id_1273,dbpedia_5821,True
ft_id_1781,dbpedia_2620,True
ft_id_273,dbpedia_1604,True
ft_id_1949,dbpedia_805,True
ft_id_411,dbpedia_2630,True
ft_id_22,dbpedia_6243,True
ft_id_885,dbpedia_3547,True
ft_id_300,dbpedia_1254,True
ft_id_1284,dbpedia_524,True
ft_id_1763,dbpedia_3253,True
ft_id_288,dbpedia_3867,True
ft_id_640,dbpedia_6554,True
ft_id_0,dbpedia_409,True
ft_id_162,dbpedia_1117,True
ft_id_66,dbpedia_3928,True
ft_id_1599,dbpedia_3766,True
ft_id_1407,dbpedia_5269,True
ft_id_225,dbpedia_72,True
ft_id_811,dbpedia_900,True
ft_id_1902,dbpedia_2253,True
ft_id_409,dbpedia_3868,True
ft_id_447,dbpedia_651,True
ft_id_667,dbpedia_727,True
ft_id_1285,dbpedia_3715,True
ft_id_1705,dbpedia_1990,True
ft_id_831,dbpedia_5990,True
ft_id_1247,dbpedia_2304,True
ft_id_155,dbpedia_6330,True
ft_id_1529,dbpedia_4571,True
ft_id_752,dbpedia_521,True
ft_id_320,dbpedia_5256,True
ft_id_1169,dbpedia_2360,True
ft_id_1106,dbpedia_2622,True
ft_id_1950,dbpedia_224,True
ft_id_1395,dbpedia_5356,True
ft_id_164,dbpedia_5622,True
ft_id_76,dbpedia_402,True
ft_id_1428,dbpedia_1350,True
ft_id_554,dbpedia_3260,True
ft_id_1793,dbpedia_2192,True
ft_id_83,dbpedia_4114,True
ft_id_620,dbpedia_6345,True
ft_id_729,dbpedia_557,True
ft_id_1053,dbpedia_2213,True
ft_id_1020,dbpedia_1246,True
ft_id_85,dbpedia_5696,True
ft_id_168,dbpedia_2642,True
ft_id_1464,dbpedia_5757,True
ft_id_221,dbpedia_6,True
ft_id_842,dbpedia_5353,True
ft_id_1534,dbpedia_4728,True
ft_id_617,dbpedia_4330,True
ft_id_594,dbpedia_4582,True
ft_id_598,dbpedia_2777,True
ft_id_119,dbpedia_4267,True
ft_id_1627,dbpedia_2447,True
ft_id_1555,dbpedia_3131,True
ft_id_613,dbpedia_781,True
ft_id_466,dbpedia_3025,True
ft_id_1503,dbpedia_2820,True
ft_id_428,dbpedia_3161,True
ft_id_1011,dbpedia_322,True
ft_id_390,dbpedia_865,True
ft_id_439,dbpedia_742,True
ft_id_599,dbpedia_3385,True
ft_id_1507,dbpedia_3211,True
ft_id_1238,dbpedia_135,True
