ft_id,sevM_id,label
ft_id_129,7.1m_488,True
ft_id_191,7.1m_171,True
ft_id_1234,7.1m_1770,True
ft_id_322,7.1m_642,True
ft_id_1145,7.1m_474,True
ft_id_31,7.1m_184,True
ft_id_455,7.1m_1374,True
ft_id_504,7.1m_1922,True
ft_id_460,7.1m_144,True
ft_id_1363,7.1m_1174,True
ft_id_552,7.1m_142,True
ft_id_171,7.1m_56,True
ft_id_364,7.1m_576,True
ft_id_66,7.1m_319,True
ft_id_956,7.1m_1184,True
ft_id_842,7.1m_1284,True
ft_id_631,7.1m_903,True
ft_id_1496,7.1m_1698,True
ft_id_1326,7.1m_415,True
ft_id_204,7.1m_139,True
ft_id_1734,7.1m_552,True
ft_id_743,7.1m_988,True
ft_id_1664,7.1m_1035,True
ft_id_1009,7.1m_1909,True
ft_id_114,7.1m_22,True
ft_id_21,7.1m_49,True
ft_id_1838,7.1m_1958,True
ft_id_35,7.1m_62,True
ft_id_1124,7.1m_1551,True
ft_id_377,7.1m_235,True
ft_id_341,7.1m_1324,True
ft_id_187,7.1m_320,True
ft_id_300,7.1m_428,True
ft_id_85,7.1m_41,True
ft_id_779,7.1m_1731,True
ft_id_1710,7.1m_326,True
ft_id_789,7.1m_1969,True
ft_id_598,7.1m_623,True
ft_id_1667,7.1m_1715,True
ft_id_94,7.1m_434,True
ft_id_500,7.1m_420,True
ft_id_165,7.1m_994,True
ft_id_546,7.1m_422,True
ft_id_1231,7.1m_307,True
ft_id_759,7.1m_816,True
ft_id_141,7.1m_645,True
ft_id_615,7.1m_114,True
ft_id_711,7.1m_194,True
ft_id_5,7.1m_19,True
ft_id_150,7.1m_461,True
ft_id_267,7.1m_288,True
ft_id_224,7.1m_189,True
ft_id_471,7.1m_165,True
ft_id_258,7.1m_191,True
ft_id_272,7.1m_58,True
ft_id_310,7.1m_693,True
ft_id_1062,7.1m_750,True
ft_id_316,7.1m_1511,True
ft_id_15,7.1m_43,True
ft_id_503,7.1m_983,True
ft_id_538,7.1m_13,True
ft_id_446,7.1m_249,True
ft_id_613,7.1m_164,True
ft_id_127,7.1m_508,True
ft_id_39,7.1m_66,True
ft_id_12,7.1m_1280,True
ft_id_653,7.1m_1700,True
ft_id_547,7.1m_1242,True
ft_id_211,7.1m_145,True
ft_id_219,7.1m_232,True
ft_id_510,7.1m_157,True
ft_id_1229,7.1m_985,True
ft_id_553,7.1m_550,True
ft_id_524,7.1m_214,True
ft_id_1882,7.1m_1947,True
ft_id_277,7.1m_562,True
ft_id_544,7.1m_240,True
ft_id_1464,7.1m_1100,True
ft_id_214,7.1m_306,True
ft_id_215,7.1m_583,True
ft_id_25,7.1m_104,True
ft_id_64,7.1m_127,True
ft_id_28,7.1m_176,True
ft_id_1064,7.1m_1326,True
ft_id_467,7.1m_1931,True
ft_id_655,7.1m_684,True
ft_id_1786,7.1m_1042,True
ft_id_227,7.1m_246,True
ft_id_532,7.1m_1405,True
ft_id_1290,7.1m_1241,True
ft_id_595,7.1m_254,True
ft_id_951,7.1m_803,True
ft_id_283,7.1m_620,True
ft_id_332,7.1m_1150,True
ft_id_1174,7.1m_755,True
ft_id_266,7.1m_659,True
ft_id_968,7.1m_667,True
ft_id_1591,7.1m_1908,True
ft_id_423,7.1m_75,True
ft_id_1372,7.1m_808,True
ft_id_213,7.1m_933,True
ft_id_1051,7.1m_506,True
ft_id_858,7.1m_1633,True
ft_id_221,7.1m_168,True
ft_id_112,7.1m_259,True
ft_id_1066,7.1m_317,True
ft_id_1097,7.1m_1046,True
ft_id_583,7.1m_458,True
ft_id_312,7.1m_966,True
ft_id_501,7.1m_431,True
ft_id_120,7.1m_843,True
ft_id_591,7.1m_647,True
ft_id_98,7.1m_86,True
ft_id_318,7.1m_814,True
ft_id_256,7.1m_360,False
ft_id_1975,7.1m_360,False
ft_id_433,7.1m_735,True
ft_id_252,7.1m_283,True
ft_id_359,7.1m_762,True
ft_id_1281,7.1m_1794,True
ft_id_808,7.1m_734,False
ft_id_1279,7.1m_1250,False
ft_id_1391,7.1m_360,False
ft_id_1771,7.1m_360,False
ft_id_382,7.1m_1954,True
ft_id_109,7.1m_1624,False
ft_id_95,7.1m_15,False
ft_id_514,7.1m_1854,False
ft_id_587,7.1m_377,True
ft_id_198,7.1m_295,True
ft_id_655,7.1m_1370,False
ft_id_608,7.1m_888,True
ft_id_1004,7.1m_1497,False
ft_id_876,7.1m_1245,True
ft_id_351,7.1m_133,True
ft_id_213,7.1m_506,False
ft_id_1450,7.1m_1792,False
ft_id_1451,7.1m_734,False
ft_id_426,7.1m_737,False
ft_id_546,7.1m_1250,False
ft_id_1288,7.1m_1209,True
ft_id_194,7.1m_1999,False
ft_id_1690,7.1m_981,False
ft_id_1503,7.1m_1440,False
ft_id_1279,7.1m_422,False
ft_id_1940,7.1m_1250,False
ft_id_596,7.1m_1209,False
ft_id_1598,7.1m_107,False
ft_id_793,7.1m_506,False
ft_id_1324,7.1m_1709,False
ft_id_1202,7.1m_1960,False
ft_id_218,7.1m_177,False
ft_id_552,7.1m_111,False
ft_id_658,7.1m_142,False
ft_id_1314,7.1m_947,True
ft_id_118,7.1m_220,True
ft_id_69,7.1m_1646,False
ft_id_1351,7.1m_1651,False
ft_id_702,7.1m_1859,False
ft_id_1170,7.1m_1814,True
ft_id_1750,7.1m_1738,True
ft_id_778,7.1m_149,True
ft_id_569,7.1m_388,False
ft_id_593,7.1m_360,False
ft_id_622,7.1m_1250,False
ft_id_622,7.1m_938,False
ft_id_175,7.1m_44,False
ft_id_702,7.1m_734,False
ft_id_1503,7.1m_734,False
ft_id_1451,7.1m_1544,False
ft_id_1451,7.1m_44,False
ft_id_1712,7.1m_1880,False
ft_id_1869,7.1m_1854,False
ft_id_1524,7.1m_1280,False
ft_id_125,7.1m_1209,False
ft_id_1218,7.1m_1370,True
ft_id_574,7.1m_335,False
ft_id_925,7.1m_794,True
ft_id_1775,7.1m_177,False
ft_id_822,7.1m_1972,False
ft_id_1727,7.1m_981,False
ft_id_596,7.1m_469,False
ft_id_90,7.1m_923,False
ft_id_125,7.1m_507,False
ft_id_439,7.1m_1402,False
ft_id_175,7.1m_388,False
ft_id_1690,7.1m_866,False
ft_id_1535,7.1m_729,False
ft_id_1940,7.1m_422,False
ft_id_1988,7.1m_422,False
ft_id_1690,7.1m_486,False
ft_id_57,7.1m_1370,False
ft_id_690,7.1m_501,False
ft_id_734,7.1m_717,False
ft_id_1475,7.1m_854,False
ft_id_1763,7.1m_1859,False
ft_id_262,7.1m_219,True
ft_id_1118,7.1m_360,False
ft_id_928,7.1m_468,False
ft_id_1542,7.1m_360,False
ft_id_613,7.1m_1588,False
ft_id_985,7.1m_117,False
ft_id_278,7.1m_1402,False
ft_id_1827,7.1m_252,False
ft_id_1712,7.1m_1699,False
ft_id_1607,7.1m_454,False
ft_id_120,7.1m_1210,True
ft_id_985,7.1m_1140,False
ft_id_411,7.1m_1972,False
ft_id_574,7.1m_1544,False
ft_id_1658,7.1m_1370,False
ft_id_64,7.1m_652,False
ft_id_3,7.1m_17,True
ft_id_1763,7.1m_734,False
ft_id_1988,7.1m_1778,False
ft_id_650,7.1m_292,False
ft_id_1940,7.1m_1778,False
ft_id_906,7.1m_675,False
ft_id_985,7.1m_1419,False
ft_id_596,7.1m_866,False
ft_id_1690,7.1m_507,False
ft_id_481,7.1m_360,False
ft_id_477,7.1m_1415,False
ft_id_793,7.1m_933,False
ft_id_571,7.1m_1700,False
ft_id_164,7.1m_1150,False
ft_id_854,7.1m_1847,False
ft_id_835,7.1m_1497,True
ft_id_1712,7.1m_316,False
ft_id_36,7.1m_137,True
ft_id_1712,7.1m_800,False
ft_id_175,7.1m_734,False
ft_id_1524,7.1m_203,False
ft_id_1952,7.1m_1767,True
ft_id_1350,7.1m_1987,True
ft_id_702,7.1m_50,False
ft_id_622,7.1m_1778,False
ft_id_702,7.1m_388,False
ft_id_574,7.1m_1440,False
ft_id_1940,7.1m_938,False
ft_id_1727,7.1m_486,False
ft_id_1727,7.1m_866,False
ft_id_1988,7.1m_938,False
ft_id_861,7.1m_1440,False
ft_id_1391,7.1m_1402,False
ft_id_1518,7.1m_360,False
ft_id_1762,7.1m_360,False
ft_id_622,7.1m_796,False
ft_id_328,7.1m_1575,True
ft_id_1028,7.1m_1402,False
ft_id_1149,7.1m_506,False
ft_id_607,7.1m_16,False
ft_id_1205,7.1m_910,False
ft_id_1569,7.1m_1334,False
ft_id_391,7.1m_803,False
ft_id_366,7.1m_1540,False
ft_id_120,7.1m_569,False
ft_id_1429,7.1m_1463,False
ft_id_1166,7.1m_989,False
ft_id_1750,7.1m_313,False
ft_id_1822,7.1m_1439,False
ft_id_377,7.1m_895,False
ft_id_408,7.1m_802,False
ft_id_1237,7.1m_483,False
ft_id_737,7.1m_1996,False
ft_id_1847,7.1m_587,False
ft_id_633,7.1m_408,False
ft_id_1677,7.1m_1952,False
ft_id_481,7.1m_1461,False
ft_id_1514,7.1m_1336,False
ft_id_676,7.1m_1456,False
ft_id_318,7.1m_1237,False
ft_id_543,7.1m_327,False
ft_id_661,7.1m_1194,False
ft_id_1764,7.1m_1276,False
ft_id_330,7.1m_1846,False
ft_id_581,7.1m_724,False
ft_id_1024,7.1m_1381,False
ft_id_65,7.1m_338,False
ft_id_564,7.1m_1590,False
ft_id_485,7.1m_1239,False
ft_id_1199,7.1m_1569,False
ft_id_708,7.1m_1738,False
ft_id_721,7.1m_390,False
ft_id_1676,7.1m_1340,False
ft_id_1480,7.1m_241,False
ft_id_1976,7.1m_1143,False
ft_id_113,7.1m_573,False
ft_id_1123,7.1m_943,False
ft_id_1720,7.1m_1183,False
ft_id_225,7.1m_1325,False
ft_id_878,7.1m_1600,False
ft_id_1596,7.1m_1924,False
ft_id_1675,7.1m_1130,False
ft_id_237,7.1m_687,False
ft_id_1991,7.1m_1001,False
ft_id_1233,7.1m_438,False
ft_id_1224,7.1m_1245,False
ft_id_1682,7.1m_1639,False
ft_id_64,7.1m_959,False
ft_id_1067,7.1m_1535,False
ft_id_222,7.1m_1472,False
ft_id_861,7.1m_453,False
ft_id_249,7.1m_1495,False
ft_id_1617,7.1m_1835,False
ft_id_1235,7.1m_1920,False
ft_id_770,7.1m_1023,False
ft_id_455,7.1m_1914,False
ft_id_1199,7.1m_1700,False
ft_id_1470,7.1m_1538,False
ft_id_249,7.1m_1220,False
ft_id_278,7.1m_1307,False
