ft_id,sevM_id,label
ft_id_1587,7.1m_123,True
ft_id_812,7.1m_1506,True
ft_id_1767,7.1m_1132,True
ft_id_384,7.1m_1,True
ft_id_487,7.1m_1097,True
ft_id_463,7.1m_1139,True
ft_id_410,7.1m_631,True
ft_id_373,7.1m_1098,True
ft_id_656,7.1m_1254,True
ft_id_45,7.1m_48,True
ft_id_1430,7.1m_1781,True
ft_id_1603,7.1m_1360,True
ft_id_676,7.1m_1041,True
ft_id_1099,7.1m_788,True
ft_id_1063,7.1m_517,True
ft_id_1529,7.1m_831,True
ft_id_297,7.1m_408,True
ft_id_686,7.1m_218,True
ft_id_808,7.1m_44,True
ft_id_450,7.1m_664,True
ft_id_396,7.1m_245,True
ft_id_479,7.1m_34,True
ft_id_972,7.1m_603,True
ft_id_1140,7.1m_993,True
ft_id_896,7.1m_751,True
ft_id_407,7.1m_646,True
ft_id_1448,7.1m_1915,True
ft_id_124,7.1m_47,True
ft_id_63,7.1m_272,True
ft_id_19,7.1m_9,True
ft_id_399,7.1m_977,True
ft_id_172,7.1m_558,True
ft_id_153,7.1m_147,True
ft_id_1127,7.1m_1513,True
ft_id_225,7.1m_68,True
ft_id_240,7.1m_1654,True
ft_id_1268,7.1m_1255,True
ft_id_429,7.1m_33,True
ft_id_484,7.1m_1525,True
ft_id_46,7.1m_154,True
ft_id_1273,7.1m_989,True
ft_id_301,7.1m_60,True
ft_id_347,7.1m_55,True
ft_id_276,7.1m_626,True
ft_id_439,7.1m_1320,True
ft_id_209,7.1m_312,True
ft_id_147,7.1m_624,True
ft_id_263,7.1m_446,True
ft_id_368,7.1m_1724,True
ft_id_953,7.1m_1444,True
ft_id_623,7.1m_532,True
ft_id_1204,7.1m_556,True
ft_id_847,7.1m_564,True
ft_id_41,7.1m_113,True
ft_id_101,7.1m_76,True
ft_id_569,7.1m_844,True
ft_id_317,7.1m_776,True
ft_id_1079,7.1m_112,True
ft_id_348,7.1m_375,True
ft_id_1075,7.1m_335,True
ft_id_22,7.1m_7,True
ft_id_508,7.1m_1290,True
ft_id_1128,7.1m_1393,True
ft_id_436,7.1m_266,True
ft_id_807,7.1m_628,True
ft_id_1292,7.1m_397,True
ft_id_132,7.1m_146,True
ft_id_596,7.1m_507,True
ft_id_408,7.1m_500,True
ft_id_110,7.1m_481,True
ft_id_1459,7.1m_244,True
ft_id_998,7.1m_1623,True
ft_id_1052,7.1m_821,True
ft_id_1422,7.1m_382,True
ft_id_273,7.1m_1356,True
ft_id_629,7.1m_340,True
ft_id_1729,7.1m_84,True
ft_id_1022,7.1m_1522,True
ft_id_11,7.1m_8,True
ft_id_168,7.1m_54,True
ft_id_1203,7.1m_1863,True
ft_id_179,7.1m_1029,True
ft_id_42,7.1m_46,True
ft_id_119,7.1m_197,True
ft_id_190,7.1m_732,True
ft_id_1466,7.1m_324,True
ft_id_661,7.1m_565,True
ft_id_366,7.1m_1549,True
ft_id_1178,7.1m_1148,True
