"Blocking Key Value","Frequency"
"BC,IC,KR,REIN,ROCO","12"
"EV,FL,UC","11"
"EA,TOIN,SHCO,OL,UB,UM,MEGR","10"
"GI,TRGR,HOIN,COGR","9"
"AF,CU,DS,CEEN,CABA,KP,CAIN,SB,REHO,TD,UP,ZA,CHMO,BAOFCH,DETE","8"
"CD,EB,KL,ANIN,STBAOF,SS,TC,SOCO","7"
"BB,BP,EI,FU,HM,KN,MS,NV,PG,PP,LARE,SUCO,TW,GRIN,ALTE,INGR,MITE,CHUN,INTE","6"
"WACO,CAHE,MOHE,UNPA,CHCO,MEHO,COBAOF,MATE,WIIN","5"
"STST,PRFIGR,HP,SASD,JD,VOGR,UNGR,KU,SHBA,MT,ALBA,OV,PT,SQ,WH,SUGR,GAEN,VECO,ZIBA,CEBAOF,CHTE,SIGR,BAME,INRA,COME,SAEL,THRE,SAGR,ATCO","4"
"AK,BY,CG,SETE,DC,WACH,JO&JO,HD,IL,IQ,CAEN,CAFI,NM,NT,PF,YAIN,SG,GEGR,TB,VM,KIHO,YP,GAIN,MECOOF,FOIN,BAPODI,KEGR,ALUS,DEBA,BABP,TAMO,BAOFAM,BAFI,ASPH,BAIN,BAMA,LOMA,DAIN,BRRE,HEIN,HABA,STEN,AGIN,WEDI","3"
"UN","462"
"AKTE,FARE,A2,AJ,AO,ARCO,SAMO,JIST&,PIGR,TOGR,EMPR,WISE,ROMA,UNBA,SASE,NABA,UNBAOF,CISE,KK,KY,MSIN,SPTE,NEMI,CPEN,WAMA,NAGR,GEFI,CHSTCO,ALEN,VIBA,RB,REEL,HYMO,DOEN,SL,SUCH,SUPAE,MA&MA,UG,CAON,PR&GA,VIEN,CNIN,HUIN,XI,LE&GE,ZO,FINAFI,CHBA,KIMO,MOST,LA&TO,DIEN,CHEN,UNMUGR,TEMA,BILA,RESE,MIIN,ASCO,ASGR,MEIN,BACA,ASIN,SIAI,SMIN,WITOWA,PUBA,TARE,BAGR,COBR,JOMA,NOBA,INPA,AVBUGR,CHCOBA,NOGR,DEPO,BADOBR,MAPE,BARE,HEHO,AIFR,SKTE,ZETE,PUST,UNOVBA,THHODE,NONO,RAHECA,GOFI","2"
"NE","378"
"ATEN,LEGR,BARAIN,SIPRGR,WEFA,COWH,TOBR,HESC,JEMA,B3,BLST,FIABDH,KOELPO,TOEL,NECO,BUFI,KOMABA,DEAILI,OLMU,NEBR,AISE,OWCO,EMNB,EORE,DB,GRWAMO,AREL,E-,E.,HCTE,RIBA,TACOSE,PAALNE,CVHE,KOAI,RIAI,FC,FM,CRAG,CEGR,BRASMA,LOSTEX,WITE,CHPOSO,HB,VOCA,ADAUPA,TMGR,ANAM,AGTE,CHEVIN,VOFI,SATE,BOALHA,CRPOEN,STJAPL,CHPEEN,EXIN,JB,EVEN,ULBE,PECH,CADE,LINAEN,CREM,NREN,L',WEPO,KT,ANDE,ROST,M&,LK,SYFI,AGBAOF,QUDI,BA&BO,ARMA,FIQUMI,CRHO,ARNE,QUCO,NXSE,CNAS,NEREIN,BOTEGR,BOFI,GEDY,JYBA,FUFI,EXSPST,SULIFI,HDBA,TIHO,APMA,SHELGR,ALFI,FUHO,GRBI,PRFI,MUUS,SWGR,BMGR,ALHO,GRAC,MIOSLI,MA&MC,S&GL,WEPHSE,DOGE,CANARE,HYON,GISC,PH66,CHPOFO,MOMEHO,DURE,KIGRPL,UNRE,SUEN,UNNAFO,BRAMTO,PERA,PERI,RITI,VIHO,WOFUSE,WP,GEMI,WS,SBCO,SWMA,ABDHIS,KIGR,ALNIAI,XP,ICBA,TEHE,LLBAGR,MAGLFO,GEMO,CHLIIN,WOFIGR,PIANIN,CLHO,CAPARA,GUJUSE,VEAN,ELAR,ZS,ZT,FOMEGR,WECICO,BOSC,CATI,ENHO,ANST,LYIN,EAWEBA,MOSO,LUAT,CHCIBA,CH&DW,SAHEIN,FIREBA,MIES,REGROF,ARNABA,USBA,TEIT,BJWHCL,ZIBI,J.HUTR,SOAI,STBL&,SUMO,WUAP,SWRE,USFO,TENA,BEBU,ASAB,C.RO,NECHLI,GRME,SALIIN,REST,ELGR,MIAPCO,BASAFR,CHMEGR,PATE,FOMO,SUPHIN,CHDEBA,TEPH,MIMA,BEDI,MIMO,FOLO,CIFIGR,HOFO,PINARE,CHHO,TERE,VELI,SOHO,YUBR,FOOT,MEGE,ZIINSH,INEDIN,BEHA,LUHO,DIFISE,THESLA,SOHE,PACOOF,TETE,STAUOF,SOGÉ,BABA,PHMOIN,FOPL,SHPUDE,POCOCO,BAAU,OTBA,SICOBA,VEPH,ABGR,RHBA,PHHO,DINE,GLIN,MABA,INFL&,DEEN,MTGR,DEEL,SSTE,XCEN,ZOVICO,TAPH,ARDAMI,BRFI,BPBA,DTEN,BAOFCO,STBAGR,SIBA,NEYOCO,ABDHCO,BAOFBE,JSST,BAOFBA,SKHY,DABA,SKGR,BAHA,KETE,CHSC,DAAV,VESY,DACE,GUBA,LOGR,PUGR,BAOFHA,BAOFIN,BAOFIR,TAST,THFISC,GLPA,ASPA,KUFIHO,SIFI,AMEX,HIIN,MESE,DELU,CHCOCO,PUNABA,BALE,AMFI,THHECO,MIHEIN,FICIBA,WOKL,INSA,COED,ALRABA,FABA,DUISBA,EDIN,DXTE,TYFO,LI&SP,JDSPFA,PKBAPO,DISPGO,MAOI,TUAI,INSU,BAPE,SECOIN,EDLI,AEDEPA,PEFOGR,APGLMA,SEGR,STCH,BAOFQU,FIAMFI,AXBA,CHMIBA,NOHY,STFI,AMITGR,CMGR,CHPAIN,SCEL,OLDOFR,AZGR,BASY,LIGL,LGCH,HAININ,SIST,ROAU,CHSOAI,SCGR,BNPA,MEKGDA,STGR,KRTHBA,WEENGR,FRMA,LGEL,AMMÓ,AVCA,POIT,GFSE,GR1AU,M&BA,BR&BR,LGDI,AVDE,FITHBA,SCHO,AVCO,X5REGR,CORE,EMHO,DASE,WECH,ATBA,OLGR,FAMA,AMTO,AILI,DASY,CHMEBA,LINA,ESPRTR,TOBA,PIBA,GUSE,IDLA,SAHO,RABAIN,NOSP,LIMO,EQRE","1"
"AM","351"
"SO","336"
"ST","308"
"CE","259"
"PA","252"
"RE","250"
"AR","232"
"MO","230"
"CO","2000"
"IN","1419"
"SA","1288"
"TE","1245"
"MA","770"
"CA","600"
"ME","546"
"SE","504"
"BA","486"
"AL","468"
"PR","228"
"HE","222"
"PE","216"
"DE","212"
"BR","210"
"SI","205"
"AD","198"
"AU","192"
"EN","190"
"SH,WE","168"
"TA","162"
"FI,NO","150"
"FA","145"
"CI","140"
"MI","138"
"SC","135"
"NA","132"
"GA,SU","130"
"LE","125"
"GE,VI","124"
"AN,HA","120"
"KE","114"
"PO","112"
"VA","105"
"AP,FO","104"
"TR","102"
"AS,BO,DA","96"
"AT,DO","92"
"HO","90"
"FE","84"
"CH","81"
"VE","80"
"CR,EX","76"
"KA","75"
"AC,BE","74"
"SY,WA","72"
"NI,OR,TO","70"
"FR","69"
"WI","64"
"AV","63"
"RA","62"
"AE,ES,IT","60"
"CL","57"
"AB","54"
"AG","52"
"QU,RI","51"
"EM,KI","48"
"VO","45"
"AI,CS","42"
"BL,HI,RO","36"
"MC","33"
"GL","32"
"LA,LI","31"
"BU,GO,KO,ON,WO","30"
"EC,GR,HU,LO","28"
"EL,IB,SW,MAIN","26"
"DI","25"
"EQ,EU,LU,SK,NABAOF","24"
"BI,COCO","23"
"PH","22"
"IS,TEIN","21"
"NU,SN,US,COEN","20"
"ALGR,MOIN,COIN","18"
"CACO,SM","17"
"PI,MAGR,COBA","16"
"CN,TH,INBA","15"
"ED,ER,ET,TECO","14"
"EP,PU","13"
