"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Name","0.0","Name-{7.1m_6277+ft_id_1665}","7.1m_6277+ft_id_1665","{celcom|Ceconomy}","celcom",,
"Name","0.2","Name-{7.1m_1815+7.1m_3245+7.1m_3811+7.1m_425+7.1m_60+dbpedia_224+dbpedia_2818+ft_id_1950+ft_id_301+ft_id_78}","7.1m_1815+7.1m_3245+7.1m_3811+7.1m_425+7.1m_60+dbpedia_224+dbpedia_2818+ft_id_1950+ft_id_301+ft_id_78","{starcom|stericycle|stork|staples|starbucks|Steris|Starbucks|Steris|Starbucks|Stellantis}","stork",,
"Country","0.0","Country-{7.1m_5042+ft_id_1165}","7.1m_5042+ft_id_1165","{japan|Singapore}","japan",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_2322+7.1m_4900+dbpedia_4045}","7.1m_2322+7.1m_4900+dbpedia_4045","{6823|3511|12883}","12883",,
"Name","0.18181818181818182","Name-{7.1m_1218+7.1m_332+7.1m_3944+7.1m_4278+7.1m_4531+7.1m_6123+dbpedia_352+dbpedia_6635+ft_id_1875+ft_id_282+ft_id_565}","7.1m_1218+7.1m_332+7.1m_3944+7.1m_4278+7.1m_4531+7.1m_6123+dbpedia_352+dbpedia_6635+ft_id_1875+ft_id_282+ft_id_565","{kiewit|kimberly-clark|kindercare|kimley-horn|king|kiabi|Kimberly-Clark|Kia|Kinnevik|KIA|Kimberly-Clark}","Kia",,
"Industries","1.0","Industries-{7.1m_4476+ft_id_485}","7.1m_4476+ft_id_485","{[, financial services, ]|[, Diversified Financials, ]}","[]",,
"Revenue","0.5714285714285714","Revenue-{dbpedia_1115+dbpedia_2257+dbpedia_2892+dbpedia_2905+dbpedia_4107+dbpedia_4720+dbpedia_4721+dbpedia_4725+dbpedia_5379+dbpedia_5380+dbpedia_6615+dbpedia_966+ft_id_1033+ft_id_113+ft_id_1166+ft_id_127+ft_id_1272+ft_id_1394+ft_id_1465+ft_id_31+ft_id_456+ft_id_510+ft_id_566+ft_id_568+ft_id_583+ft_id_735+ft_id_876+ft_id_918}","dbpedia_1115+dbpedia_2257+dbpedia_2892+dbpedia_2905+dbpedia_4107+dbpedia_4720+dbpedia_4721+dbpedia_4725+dbpedia_5379+dbpedia_5380+dbpedia_6615+dbpedia_966+ft_id_1033+ft_id_113+ft_id_1166+ft_id_127+ft_id_1272+ft_id_1394+ft_id_1465+ft_id_31+ft_id_456+ft_id_510+ft_id_566+ft_id_568+ft_id_583+ft_id_735+ft_id_876+ft_id_918","{1000000000|12|15693000000|14217000000|18650000000|18544000000|19256000000|8570000000|3595000000|3817000000|1140000000|103560000000|2952000000|38726000000|18406000000|46056000000|3160000000|3156000000|1253000000|116385000000|15655000000|39910000000|18507000000|14068000000|17421000000|7839000000|14836000000|18797000000}","8570000000",,
"Revenue","0.6666666666666666","Revenue-{dbpedia_4806+ft_id_1107+ft_id_758}","dbpedia_4806+ft_id_1107+ft_id_758","{9300000000|7317000000|17640000000}","9300000000",,
"CeoNames","1.0","CeoNames-{dbpedia_5150+ft_id_800}","dbpedia_5150+ft_id_800","{[, , ]|[, Young-Moo Choi, ]}","[, Young-Moo Choi, ]",,
"Country","0.3333333333333333","Country-{7.1m_294+7.1m_652+7.1m_6792+7.1m_804+ft_id_1026+ft_id_1406}","7.1m_294+7.1m_652+7.1m_6792+7.1m_804+ft_id_1026+ft_id_1406","{united kingdom|malaysia|united states|united states|Taiwan|United States}","Taiwan",,
