"RecordIDS","AverageConsistency","Name-Consistency","Name-Values","Country-Consistency","Country-Values","NumberOfEmployees-Consistency","NumberOfEmployees-Values","Revenue-Consistency","Revenue-Values","FoundingYear-Consistency","FoundingYear-Values","Industries-Consistency","Industries-Values","City-Consistency","City-Values","Website-Consistency","Website-Values","CeoNames-Consistency","CeoNames-Values"
"7.1m_19383+dbpedia_5268","1.0","1.0","{national bank of kenya|National Bank of Kenya}","1.0","{kenya}","1.0","{1239|1356}","1.0","{1521950}","1.0","{1968}","1.0","{[, banking, ]|[, Financial services, ]}","1.0","{nairobi}",,,"1.0","{[, , ]}"
"7.1m_18840+dbpedia_1956","1.0","1.0","{technologyone|TechnologyOne}","1.0","{united states}","1.0","{1409|1200}","1.0","{299000000}","1.0","{1987}","1.0","{[, computer software, ]|[, Software development, ]}","1.0","{saint charles}",,,"1.0","{[, , ]}"
"7.1m_157797+dbpedia_2753","1.0","1.0","{19 entertainment|19 Entertainment}",,,"1.0","{370|100}","1.0","{288100000}",,,"1.0","{[, entertainment, ]|[, Entertainment, ]}",,,,,"1.0","{[, , ]}"
"7.1m_15479+dbpedia_4208","1.0","1.0","{alpha natural resources|Alpha Natural Resources}","1.0","{united states}","1.0","{1631|3000}","1.0","{3917}","1.0","{2002}","1.0","{[, mining & metals, ]|[, Metal
				Mining, ]}","1.0","{bristol}",,,"1.0","{[, , ]}"
"7.1m_2275+dbpedia_5662+ft_id_452","0.5925925925925926","0.6666666666666666","{mediatek|MediaTek|MediaTek}","0.0","{united states|Taiwan}","1.0","{6061|17449}","0.5","{493420000000|17665000000}","1.0","{1997|1997}","0.6666666666666666","{[, semiconductors, ]|[, Computer hardware
				Consumer electronics
				Graphics card
				Graphics processing unit
				Semiconductor, ]|[, Semiconductors, ]}","0.0","{cranbury|Hsinchu}","1.0","{http://www.mediatek.com}","0.5","{[, , ]|[, Li Hsing Tsai, ]}"
"dbpedia_5209+dbpedia_805+ft_id_1949","0.5833333333333334","0.3333333333333333","{Healthpeak Properties|Healthpeak Properties|Healthpeak Properties}","1.0","{United States}","0.3333333333333333","{204|204|196}","0.3333333333333333","{1847000000|1997000000|1896000000}","1.0","{1985}","0.3333333333333333","{[, Real estate investment trust, ]|[, Real estate investment trust, ]|[, Diversified Financials, ]}","1.0","{Denver}",,,"0.3333333333333333","{[, , ]|[, , ]|[, Thomas M. Herzog, ]}"
"7.1m_21679+dbpedia_6805","1.0","1.0","{magellan aerospace|Magellan Aerospace}","1.0","{canada}","1.0","{1256|3000}","1.0","{843000000}","1.0","{1996}","1.0","{[, airlines/aviation, ]|[, Aerospace, ]}","1.0","{mississauga}",,,"1.0","{[, , ]}"
"7.1m_36694+dbpedia_15+ft_id_557","0.5555555555555556","0.6666666666666666","{wesfarmers|Wesfarmers|Wesfarmers}","0.0","{australia|Australia}","0.6666666666666666","{1018|107000|114000}","0.5","{30800000000|25351000000}","1.0","{1914|1914}","0.6666666666666666","{[, retail, ]|[, Conglomerate (company), ]|[, Food Markets, ]}","0.0","{perth|Perth}","1.0","{http://www.wesfarmers.com.au}","0.5","{[, , ]|[, Robert Scott, ]}"
"7.1m_12562+dbpedia_2974","1.0","1.0","{greenway health|Greenway Health}","1.0","{united states}","1.0","{2116|1293}","1.0","{315000000}","1.0","{1977}","1.0","{[, information technology and services, ]|[, Health information technology, ]}","1.0","{carrollton}",,,"1.0","{[, , ]}"
"7.1m_69191+dbpedia_4049","1.0","1.0","{fjordkraft|Fjordkraft}","1.0","{norway}","1.0","{339|195}","1.0","{4487000000}","1.0","{2001}","1.0","{[, oil & energy, ]|[, Electric utility, ]}","1.0","{bergen}",,,"1.0","{[, , ]}"
"7.1m_25537+dbpedia_4871","1.0","1.0","{j2 global|J2 Global}","1.0","{united states}","1.0","{1241|4000}","1.0","{1372000000}","1.0","{1995}","1.0","{[, information services, ]|[, Cloud computing
				Digital media, ]}","1.0","{los angeles}",,,"1.0","{[, , ]}"
"7.1m_1294+7.1m_157111+dbpedia_1080+dbpedia_444","0.6428571428571429","0.5","{transocean|transocean|Transocean|Transocean}","1.0","{switzerland}","0.5","{16383|179|6600|6600}","0.5","{3018000000|3088000000}",,,"0.5","{[, oil & energy, ]|[, oil & energy, ]|[, List of oilfield service companies
				Offshore drilling, ]|[, List of oilfield service companies
				Offshore drilling, ]}","1.0","{bergen}",,,"0.5","{[, , ]|[, , ]}"
"7.1m_1723+dbpedia_325","1.0","1.0","{community health systems|Community Health Systems}","1.0","{united states}","1.0","{9446|120000}","1.0","{18438000000}","1.0","{1985}","1.0","{[, hospital & health care, ]|[, Health care, ]}","1.0","{franklin}",,,"1.0","{[, , ]}"
"7.1m_2081+dbpedia_3068","1.0","1.0","{hugo boss|Hugo Boss}","1.0","{germany}","1.0","{14234|14685}","1.0","{2}","1.0","{1923}","1.0","{[, apparel & fashion, ]|[, Clothing
				Fashion accessory, ]}","1.0","{metzingen}",,,"1.0","{[, , ]}"
"7.1m_48+dbpedia_265+ft_id_45","0.5555555555555556","0.6666666666666666","{nestlé|Nestlé|Nestlé}","0.0","{switzerland|Switzerland}","0.6666666666666666","{139821|273000|276000}","0.5","{84680000000|95255000000}","1.0","{1866|1866}","0.6666666666666666","{[, food & beverages, ]|[, Food processing, ]|[, Food, Drink & Tobacco, ]}","0.0","{vevey|Vevey}","1.0","{http://www.nestleusa.com}","0.5","{[, , ]|[, Ulf Mark Schneider, ]}"
