"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record1Value","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record2Value","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record1PreprocessedValue","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record2PreprocessedValue","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity similarity","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity postproccesedSimilarity","[1] CompanyNameComparatorTokenizingJaccardSimilarity record1Value","[1] CompanyNameComparatorTokenizingJaccardSimilarity record2Value","[1] CompanyNameComparatorTokenizingJaccardSimilarity record1PreprocessedValue","[1] CompanyNameComparatorTokenizingJaccardSimilarity record2PreprocessedValue","[1] CompanyNameComparatorTokenizingJaccardSimilarity similarity","[1] CompanyNameComparatorTokenizingJaccardSimilarity postproccesedSimilarity"
"WekaMatchingRule","ft_id_298","dbpedia_1034","1.0","1","42000.0","22000.0","42000.0","22000.0","0.98","0.98","AmerisourceBergen","AmerisourceBergen","AmerisourceBergen","AmerisourceBergen","1.0","1.0"
"WekaMatchingRule","ft_id_793","dbpedia_6585","1.0","1","3900.0","3400.0","3900.0","3400.0","0.9995","0.9995","Vertex Pharmaceuticals","Vertex Pharmaceuticals","Vertex Pharmaceuticals","Vertex Pharmaceuticals","1.0","1.0"
"WekaMatchingRule","ft_id_279","dbpedia_4387","0.012903225806451613","0","29861.0","3.0","29861.0","3.0","0.970142","0.970142","ASML Holding","Golden West Books","ASML Holding","Golden West Books","0.0","0.0"
"WekaMatchingRule","ft_id_481","dbpedia_1836","0.012903225806451613","0","-99.0","12269.0","-99.0","12269.0","0.987632","0.987632","Hana Financial Group","OP Financial Group","Hana Financial Group","OP Financial Group","0.5","0.5"
"WekaMatchingRule","ft_id_1821","dbpedia_2665","0.012903225806451613","0","748.0","1000.0","748.0","1000.0","0.999748","0.999748","Crescent Point Energy","Sanlorenzo S.p.a.","Crescent Point Energy","Sanlorenzo S.p.a.","0.0","0.0"
"WekaMatchingRule","ft_id_1119","dbpedia_2210","0.012903225806451613","0","18619.0","1842.0","18619.0","1842.0","0.983223","0.983223","TBEA","NewMarket Corporation","TBEA","NewMarket Corporation","0.0","0.0"
"WekaMatchingRule","ft_id_1694","dbpedia_6144","0.012903225806451613","0","3.0","4800.0","3.0","4800.0","0.995203","0.995203","Iveco Group","Beam Suntory","Iveco Group","Beam Suntory","0.0","0.0"
"WekaMatchingRule","ft_id_1051","dbpedia_5797","0.012903225806451613","0","37537.0","3805.0","37537.0","3805.0","0.966268","0.966268","Teva Pharmaceutical","Santen Pharmaceutical","Teva Pharmaceutical","Santen Pharmaceutical","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1163","dbpedia_2143","0.012903225806451613","0","59.0","24665.0","59.0","24665.0","0.975394","0.975394","CJ Corporation","NTN Corporation","CJ Corporation","NTN Corporation","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1747","dbpedia_5401","1.0","1","14582.0","13560.0","14582.0","13560.0","0.998978","0.998978","Johnson Matthey","Johnson Matthey","Johnson Matthey","Johnson Matthey","1.0","1.0"
"WekaMatchingRule","ft_id_812","dbpedia_2106","0.012903225806451613","0","20400.0","15614.0","20400.0","15614.0","0.995214","0.995214","United Rentals","Swedbank","United Rentals","Swedbank","0.0","0.0"
"WekaMatchingRule","ft_id_285","dbpedia_5616","1.0","1","18247.0","29648.0","18247.0","29648.0","0.988599","0.988599","Posco","POSCO","Posco","POSCO","1.0","1.0"
"WekaMatchingRule","ft_id_1193","dbpedia_1428","0.012903225806451613","0","46447.0","5500.0","46447.0","5500.0","0.959053","0.959053","BBMG","EMI","BBMG","EMI","0.0","0.0"
"WekaMatchingRule","ft_id_1391","dbpedia_4092","0.012903225806451613","0","110.0","3300.0","110.0","3300.0","0.99681","0.99681","BNK Financial Group","CNO Financial Group","BNK Financial Group","CNO Financial Group","0.5","0.5"
"WekaMatchingRule","ft_id_1766","dbpedia_4704","0.012903225806451613","0","5483.0","3600.0","5483.0","3600.0","0.998117","0.998117","Taiwan Business Bank","Capsugel","Taiwan Business Bank","Capsugel","0.0","0.0"
"WekaMatchingRule","ft_id_1762","dbpedia_1836","0.012903225806451613","0","2839.0","12269.0","2839.0","12269.0","0.99057","0.99057","Juroku  Financial Group","OP Financial Group","Juroku  Financial Group","OP Financial Group","0.5","0.5"
"WekaMatchingRule","ft_id_1219","dbpedia_1699","0.012903225806451613","0","-99.0","38000.0","-99.0","38000.0","0.961901","0.961901","Carnival Corporation","Chedraui","Carnival Corporation","Chedraui","0.0","0.0"
"WekaMatchingRule","ft_id_439","dbpedia_6179","0.012903225806451613","0","18600.0","5700.0","18600.0","5700.0","0.9871","0.9871","Principal Financial Group","IA Financial Group","Principal Financial Group","IA Financial Group","0.5","0.5"
"WekaMatchingRule","ft_id_1378","dbpedia_6773","1.0","1","4309.0","4048.0","4309.0","4048.0","0.999739","0.999739","Extra Space Storage","Extra Space Storage","Extra Space Storage","Extra Space Storage","1.0","1.0"
"WekaMatchingRule","ft_id_47","dbpedia_1370","0.012903225806451613","0","92398.0","3015.0","92398.0","3015.0","0.910617","0.910617","AXA Group","Drax Group","AXA Group","Drax Group","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_961","dbpedia_468","0.012903225806451613","0","-99.0","2700.0","-99.0","2700.0","0.997201","0.997201","Gerdau (Cosigua)","J. Alexander's","Gerdau (Cosigua)","J. Alexander's","0.0","0.0"
"WekaMatchingRule","ft_id_994","dbpedia_295","0.012903225806451613","0","-99.0","5701.0","-99.0","5701.0","0.9942","0.9942","First Quantum Minerals","Brown Brothers Harriman & Co.","First Quantum Minerals","Brown Brothers Harriman & Co.","0.0","0.0"
"WekaMatchingRule","ft_id_171","dbpedia_3751","0.012903225806451613","0","114000.0","16641.0","114000.0","16641.0","0.902641","0.902641","Lockheed Martin","HAECO","Lockheed Martin","HAECO","0.0","0.0"
"WekaMatchingRule","ft_id_1108","dbpedia_4899","0.012903225806451613","0","33045.0","3602.0","33045.0","3602.0","0.970557","0.970557","J.B. Hunt Transport Services","Mastek","J.B. Hunt Transport Services","Mastek","0.0","0.0"
"WekaMatchingRule","ft_id_1613","dbpedia_907","1.0","1","7272.0","8363.0","7272.0","8363.0","0.998909","0.998909","NiSource","NiSource","NiSource","NiSource","1.0","1.0"
"WekaMatchingRule","ft_id_262","dbpedia_3895","0.012903225806451613","1","73541.0","56606.0","73541.0","56606.0","0.983065","0.983065","Salesforce.com","Salesforce","Salesforce.com","Salesforce","0.5","0.5"
"WekaMatchingRule","ft_id_399","dbpedia_2226","0.012903225806451613","0","250000.0","1365.0","250000.0","1365.0","0.7513650000000001","0.7513650000000001","JBS","Brunello Cucinelli (company)","JBS","Brunello Cucinelli (company)","0.0","0.0"
"WekaMatchingRule","ft_id_185","dbpedia_4889","0.012903225806451613","0","54492.0","20016.0","54492.0","20016.0","0.965524","0.965524","Mizuho Financial","Marcopolo S.A.","Mizuho Financial","Marcopolo S.A.","0.0","0.0"
"WekaMatchingRule","ft_id_1665","dbpedia_753","0.012903225806451613","0","-99.0","1500.0","-99.0","1500.0","0.998401","0.998401","Ceconomy","Qualys","Ceconomy","Qualys","0.0","0.0"
"WekaMatchingRule","ft_id_94","dbpedia_52","0.012903225806451613","0","31000.0","18000.0","31000.0","18000.0","0.987","0.987","Chubb","Poundland","Chubb","Poundland","0.0","0.0"
"WekaMatchingRule","ft_id_1288","dbpedia_4226","0.8181818181818182","1","15600.0","16200.0","15600.0","16200.0","0.9994","0.9994","Frontier Communications Parent","Frontier Communications","Frontier Communications Parent","Frontier Communications","0.6666666666666666","0.6666666666666666"
"WekaMatchingRule","ft_id_1757","dbpedia_1004","0.012903225806451613","0","4476.0","4374.0","4476.0","4374.0","0.999898","0.999898","Shandong Hualu-Hengsheng Chemical","Kureha Corporation","Shandong Hualu-Hengsheng Chemical","Kureha Corporation","0.0","0.0"
