"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] NumberOfEmployeesComparatorPercentageSimilarity record1Value","[0] NumberOfEmployeesComparatorPercentageSimilarity record2Value","[0] NumberOfEmployeesComparatorPercentageSimilarity record1PreprocessedValue","[0] NumberOfEmployeesComparatorPercentageSimilarity record2PreprocessedValue","[0] NumberOfEmployeesComparatorPercentageSimilarity similarity","[0] NumberOfEmployeesComparatorPercentageSimilarity postproccesedSimilarity","[1] CompanyNameComparatorLevenshteinSimilarity record1Value","[1] CompanyNameComparatorLevenshteinSimilarity record2Value","[1] CompanyNameComparatorLevenshteinSimilarity record1PreprocessedValue","[1] CompanyNameComparatorLevenshteinSimilarity record2PreprocessedValue","[1] CompanyNameComparatorLevenshteinSimilarity similarity","[1] CompanyNameComparatorLevenshteinSimilarity postproccesedSimilarity"
"WekaMatchingRule","ft_id_579","7.1m_287",,"0","45000.0","51824.0","45000.0","51824.0","0.9736647113306576","0.9736647113306576","Illinois Tool Works","university of michigan","Illinois Tool Works","university of michigan","0.18181818181818177","0.18181818181818177"
"WekaMatchingRule","ft_id_100","7.1m_344","1.0","1","-99.0","46381.0","-99.0","46381.0","0.799573101054311","0.799573101054311","British American Tobacco","british american tobacco","British American Tobacco","british american tobacco","1.0","1.0"
"WekaMatchingRule","ft_id_1053","7.1m_1158",,"0","3497.0","23441.0","3497.0","23441.0","0.8298366110660809","0.8298366110660809","Verbund","sykes","Verbund","sykes","0.0","0.0"
"WekaMatchingRule","ft_id_579","7.1m_1533",,"0","45000.0","13022.0","45000.0","13022.0","0.8578755555555555","0.8578755555555555","Illinois Tool Works","beth israel deaconess medical center","Illinois Tool Works","beth israel deaconess medical center","0.19444444444444442","0.19444444444444442"
"WekaMatchingRule","ft_id_518","7.1m_86",,"0","26000.0","99940.0","26000.0","99940.0","0.8520312187312388","0.8520312187312388","Intact Financial","sanofi","Intact Financial","sanofi","0.1875","0.1875"
"WekaMatchingRule","ft_id_1518","7.1m_435",,"0","8103.0","41535.0","8103.0","41535.0","0.8390176959191044","0.8390176959191044","Fukuoka Financial Group","stanford university","Fukuoka Financial Group","stanford university","0.13043478260869568","0.13043478260869568"
"WekaMatchingRule","ft_id_617","7.1m_1077",,"0","21100.0","14347.0","21100.0","14347.0","0.9359905213270142","0.9359905213270142","Northern Trust","telkom","Northern Trust","telkom","0.1428571428571429","0.1428571428571429"
"WekaMatchingRule","ft_id_1243","7.1m_408",,"0","40517.0","25727.0","40517.0","25727.0","0.9269936076214922","0.9269936076214922","Kobe Steel","unicredit","Kobe Steel","unicredit","0.0","0.0"
"WekaMatchingRule","ft_id_1219","7.1m_330",,"0","-99.0","28081.0","-99.0","28081.0","0.7992948969053808","0.7992948969053808","Carnival Corporation","cerner corporation","Carnival Corporation","cerner corporation","0.75","0.75"
"WekaMatchingRule","ft_id_1422","7.1m_382","1.0","1","33000.0","54988.0","33000.0","54988.0","0.9200261875318251","0.9200261875318251","Adecco","adecco","Adecco","adecco","1.0","1.0"
"WekaMatchingRule","ft_id_805","7.1m_6155","0.0",,"19566.0","3606.0","19566.0","3606.0","0.8368598589389757","0.8368598589389757","Telia","tereos","Telia","tereos","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","ft_id_1442","7.1m_267",,"0","7750.0","45335.0","7750.0","45335.0","0.834189919488254","0.834189919488254","Olin","weatherford","Olin","weatherford","0.0","0.0"
"WekaMatchingRule","ft_id_1436","7.1m_503",,"0","31000.0","25020.0","31000.0","25020.0","0.9614193548387097","0.9614193548387097","Thor Industries","ppg industries","Thor Industries","ppg industries","0.7333333333333334","0.7333333333333334"
"WekaMatchingRule","ft_id_777","7.1m_14123","0.0",,"90000.0","1534.0","90000.0","1534.0","0.8034088888888888","0.8034088888888888","Amphenol","am","Amphenol","am","0.25","0.25"
"WekaMatchingRule","ft_id_62","7.1m_77","1.0","1","101000.0","122317.0","101000.0","122317.0","0.9651446650915245","0.9651446650915245","Procter & Gamble","procter & gamble","Procter & Gamble","procter & gamble","1.0","1.0"
"WekaMatchingRule","ft_id_76","7.1m_394",,"0","64000.0","41164.0","64000.0","41164.0","0.9286375","0.9286375","American Express","american red cross","American Express","american red cross","0.7222222222222222","0.7222222222222222"
"WekaMatchingRule","ft_id_487","7.1m_1097","1.0","1","18306.0","18457.0","18306.0","18457.0","0.9983637644254213","0.9983637644254213","Pernod Ricard","pernod ricard","Pernod Ricard","pernod ricard","1.0","1.0"
