name,year,month,uri,description,rank,listUri,organization,visible,position,organizationName,state,timestamp,naturalId,imageExists,image,industry,country,revenue,profits,assets,marketValue,profitsRank,assetsRank,marketValueRank,employees,revenueRank,ceoName,ceoTitle,revenueList,assetsList,profitList,employeesList,date,city,csfDisplayFields,yearFounded,webSite,industryLeader,squareImage,portraitImage,landscapeImage,industries,premiumProfile,thumbnail,ceoCompensations,clients,parentCompany
Global 2000,2022,5,berkshire-hathaway,"Berkshire Hathaway, Inc. provides property and casualty insurance and reinsurance, utilities and energy, freight rail transportation, finance, manufacturing, retailing, and services. It operates through following segments: GEICO, Berkshire Hathaway Reinsurance Group, Berkshire Hathaway Primary Group, Burlington Northern Santa Fe, LLC (BNSF), Berkshire Hathaway Energy, McLane Company, Manufacturing, and Service and Retailing. The GEICO segments involves in underwriting private passenger automobile insurance mainly by direct response methods. The Berkshire Hathaway Reinsurance Group segment consists of underwriting excess-of-loss and quota-share and facultative reinsurance worldwide. The Berkshire Hathaway Primary Group segment comprises of underwriting multiple lines of property and casualty insurance policies for primarily commercial accounts. The BNSF segment operates railroad systems in North America. The Berkshire Hathaway Energy segments deals with regulated electric and gas utility, including power generation and distribution activities, and real estate brokerage activities. The McLane Company segment offers wholesale distribution of groceries and non-food items. The Manufacturing segment includes industrial and end-user products, building products, and apparel. The Service and Retailing segment provides fractional aircraft ownership programs, aviation pilot training, electronic components distribution, and various retailing businesses, including automobile dealerships, and trailer and furniture leasing. The company was founded by Oliver Chace in 1839 and is headquartered in Omaha, NE.",1,global2000,"{'name': 'Berkshire Hathaway', 'uri': 'berkshire-hathaway', 'imageExists': True, 'image': 'http://images.forbes.com/media/lists/companies/berkshire-hathaway_416x416.jpg'}",True,1,Berkshire Hathaway,Nebraska,1657897770208,fred/companies/F2K/2022/595,True,http://images.forbes.com/media/lists/companies/berkshire-hathaway_416x416.jpg,Diversified Financials,United States,276094.0,89795.0,958784.0,741476.0,3.0,44.0,7.0,372000.0,12.0,Warren Edward Buffett,Chief Executive Officer,"[276094.0, 245510.0, 254616.0, 247837.0, 235165.0, 222935.0, 210821.0, 194673.0, 182150.0, 162463.0]","[958784.0, 873729.0, 817729.0, 707794.0, 702651.0, 620854.0, 561068.0, 534618.0, 493362.0, 437236.0]","[89795.0, 42521.0, 81417.0, 4021.0, 39742.0, 24074.0, 24083.0, 19872.0, 19476.0, 14824.0]","[372000, 360000, 391500, 389000, 377000, 367700, 331000, 316000, 302000, 288500]",1652396400000,Omaha,"['rank', 'organizationName', 'country', 'industry', 'ceoName', 'marketValue', 'premiumProfile']",1939.0,http://www.berkshirehathaway.com,False,,,,,,,,,
Global 2000,2022,5,icbc,"Industrial & Commercial Bank of China Ltd. engages in the provision of commercial banking and financial services. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury Operations, and Others. The Corporate Banking segment provides corporate loans, trade financing, deposit-taking activities, corporate wealth management services, custody activities, and various types of corporate intermediary services to corporations, government agencies and financial institutions. The Personal Banking segment offers personal loans, deposit-taking activities, card business, personal wealth management services, and various types of personal intermediary services to individual customers. The Treasury Operations segment issues money market transactions, investment securities, foreign exchange transactions and the holding of derivative positions, for its own account or on behalf of customers. The Others segment includes assets, liabilities, income, and expenses that cannot be allocated to a segment. The company was founded on January 1, 1984 and is headquartered in Beijing, China.",2,global2000,"{'name': 'ICBC', 'uri': 'icbc', 'imageExists': True, 'image': 'http://images.forbes.com/media/lists/companies/icbc_416x416.jpg'}",True,2,ICBC,,1657897771095,fred/companies/F2K/2022/2176,True,http://images.forbes.com/media/lists/companies/icbc_416x416.jpg,Banking,China,208127.0,54028.3,5518508.0,214425.0,6.0,1.0,43.0,,20.0,Shu Gu,CEO,"[208127.0, 190467.0, 177230.48, 175874.0, 165337.86, 151381.0, 171076.84, 166796.0, 150233.36, 134410.06]","[5518508.0, 4914670.0, 4322528.5, 4034482.0, 4210927.0, 3473238.0, 3420256.8, 3322042.8, 3124887.0, 2815629.5]","[54028.3, 45768.656, 45283.625, 45223.0, 43669.414, 41983.7, 44160.28, 44757.246, 42723.258, 37803.8]","[449296, 453048, 461749, 466346, 462282, 441902, 427356]",1652396400000,Beijing,"['rank', 'organizationName', 'country', 'industry', 'ceoName', 'marketValue', 'premiumProfile']",2011.0,http://www.icbc-ltd.com,False,,,,,,,,,
Global 2000,2022,5,saudi-arabian-oil-company-saudi-aramco,"Saudi Arabian Oil Co. engages in the exploration, production, transportation, and sale of crude oil and natural gas. It operates through the following segments: Upstream, Downstream, and Corporate. The Upstream segment includes crude oil, natural gas and natural gas liquids exploration, field development, and production. The Downstream segment focuses on refining, logistics, power generation, and the marketing of crude oil, petroleum and petrochemical products, and related services to international and domestic customers. The Corporate segment offers supporting services including human resources, finance, and information technology. The company was founded on May 29, 1933 and is headquartered in Dhahran, Saudi Arabia.",3,global2000,"{'name': 'Saudi Arabian Oil Company (Saudi Aramco)', 'uri': 'saudi-arabian-oil-company-saudi-aramco', 'imageExists': False, 'image': 'http://images.forbes.com/media/lists/companies/saudi-arabian-oil-company-saudi-aramco_416x416.jpg'}",True,3,Saudi Arabian Oil Company (Saudi Aramco),,1657897771400,fred/companies/F2K/2022/111716,False,http://images.forbes.com/media/lists/companies/saudi-arabian-oil-company-saudi-aramco_416x416.jpg,Oil & Gas Operations,Saudi Arabia,400376.0,105363.0,576041.0,2292077.0,1.0,70.0,2.0,68493.0,3.0,Amin bin Hasan Al-Nasser,Chief Executive Officer,"[400376.0, 229747.42, 329762.12]","[576041.0, 510251.88, 398295.5]","[105363.0, 49282.816, 88204.98]","[68493, 66800, 69867]",1652396400000,Dhahran,"['rank', 'organizationName', 'country', 'industry', 'ceoName', 'marketValue', 'premiumProfile']",1933.0,http://http:www.aramco.com,False,,,,,,,,,
Global 2000,2022,5,jpmorgan-chase,"JPMorgan Chase & Co. is a financial holding company. It provides financial and investment banking services. The firm offers a range of investment banking products and services in all capital markets, including advising on corporate strategy and structure, capital raising in equity and debt markets, risk management, market making in cash securities and derivative instruments, and brokerage and research. It operates through the following segments: Consumer and Community Banking, Corporate and Investment Bank, Commercial Banking and Asset and Wealth Management. The Consumer and Community Banking segment serves consumers and businesses through personal service at bank branches and through automated teller machine, online, mobile, and telephone banking. The Corporate and Investment Bank segment offers a suite of investment banking, market-making, prime brokerage, and treasury and securities products and services to a global client base of corporations, investors, financial institutions, government and municipal entities. The Commercial Banking segment delivers services to U.S. and its multinational clients, including corporations, municipalities, financial institutions, and non profit entities. It also provides financing to real estate investors and owners as well as financial solutions, including lending, treasury services, investment banking, and asset management. The Asset and Wealth Management segment provides asset and wealth management services. The company was founded in 1968 and is headquartered in New York, NY.",4,global2000,"{'name': 'JPMorgan Chase', 'uri': 'jpmorgan-chase', 'imageExists': True, 'image': 'http://images.forbes.com/media/lists/companies/jpmorgan-chase_416x416.jpg'}",True,4,JPMorgan Chase,New York,1657897772608,fred/companies/F2K/2022/2370,True,http://images.forbes.com/media/lists/companies/jpmorgan-chase_416x416.jpg,Diversified Financials,United States,124542.0,42115.0,3954687.0,374446.0,8.0,6.0,17.0,271025.0,59.0,James Dimon,Chief Executive Officer,"[124542.0, 136187.0, 142927.0, 132912.0, 118180.0, 102494.0, 99881.0, 97817.0, 107328.0, 99835.0]","[3954687.0, 3689336.0, 3139431.0, 2737188.0, 2609785.0, 2512986.0, 2423808.0, 2593562.0, 2435283.0, 2377204.0]","[42115.0, 40371.0, 29954.0, 32738.0, 26496.0, 24231.0, 23548.0, 21219.0, 17398.0, 20530.0]","[271025, 255351, 256981, 256105, 167000, 243355, 234598, 241359, 251196, 258965]",1652396400000,New York,"['rank', 'organizationName', 'country', 'industry', 'ceoName', 'marketValue', 'premiumProfile']",1968.0,http://www.jpmorganchase.com,False,,,,,,,,,
Global 2000,2022,5,china-construction-bank,"China Construction Bank Corp. engages in the provision of a wide range of financial services to corporate and personal customers. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury, and Others. The Corporate Banking segment provides a range of financial products and services to corporations, government agencies and financial institutions, which comprises of corporate loans, trade financing, deposit taking and wealth management services, agency services, financial consulting and advisory services, cash management services, remittance and settlement services, custody services, and guarantee services. The Personal Banking segment provides personal loans, deposit taking  and wealth management services, card business, remittance services, and agency services to individual customers. The Treasury segment represents inter-bank money market transactions, repurchase and resale transactions, investments in debt securities, and trade of derivatives and foreign currency. The Others segment refers to equity investments and revenues, results, assets and liabilities of overseas branches and subsidiaries. The company was founded in October 1954 and is headquartered in Beijing, China.",5,global2000,"{'name': 'China Construction Bank', 'uri': 'china-construction-bank', 'imageExists': True, 'image': 'http://images.forbes.com/media/lists/companies/china-construction-bank_416x416.jpg'}",True,5,China Construction Bank,,1657897773496,fred/companies/F2K/2022/907,True,http://images.forbes.com/media/lists/companies/china-construction-bank_416x416.jpg,Banking,China,202069.0,46887.3,4746951.0,181325.0,7.0,2.0,59.0,,23.0,Wang Zuji,CEO,"[202069.0, 173477.88, 162147.27, 150313.0, 143202.39, 134242.0, 146815.6, 130473.0, 125342.85, 113094.74]","[4746951.0, 4301699.5, 3822047.5, 3382422.0, 3631583.2, 3016578.0, 2825983.0, 2698925.0, 2537900.0, 2242721.5]","[46887.3, 39299.22, 38914.766, 38841.0, 37203.08, 34981.4, 36393.44, 37038.934, 34916.734, 30616.02]","[352621, 352621, 362482, 369183, 372321, 368410, 348955]",1652396400000,Beijing,"['rank', 'organizationName', 'country', 'industry', 'ceoName', 'marketValue', 'premiumProfile']",2014.0,http://www.ccb.com,False,,,,,,,,,
Global 2000,2022,5,amazon,"Amazon.com, Inc. engages in the provision of online retail shopping services. It operates through the following business segments: North America, International, and Amazon Web Services (AWS). The North America segment includes retail sales of consumer products and subscriptions through North America-focused websites such as www.amazon.com and www.amazon.ca. The International segment offers retail sales of consumer products and subscriptions through internationally-focused websites. The Amazon Web Services segment involves in the global sales of compute, storage, database, and AWS service offerings for start-ups, enterprises, government agencies, and academic institutions. The company was founded by Jeffrey P. Bezos in July 1994 and is headquartered in Seattle, WA.",6,global2000,"{'name': 'Amazon', 'uri': 'amazon', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5d825aa26de3150009a4616c/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416', 'image': 'http://images.forbes.com/media/lists/companies/amazon_416x416.jpg'}",True,6,Amazon,Washington,1657897775010,fred/companies/F2K/2022/196,True,http://images.forbes.com/media/lists/companies/amazon_416x416.jpg,Retailing,United States,469822.0,33364.0,420549.0,1468398.0,14.0,94.0,5.0,1608000.0,2.0,Andrew R. Jassy,Chief Executive Officer,"[469822.0, 386064.0, 296274.0, 232887.0, 193194.0, 135987.0, 107007.0, 88988.0, 74452.0, 61093.0]","[420549.0, 321195.0, 221238.0, 162648.0, 126362.0, 86022.0, 67705.0, 56340.0, 41397.0, 32555.0]","[33364.0, 21331.0, 10562.0, 10073.0, 3938.0, 2371.0, 596.0, -241.0, 274.0, -39.0]","[1608000, 1298000, 798000, 647500, 563100, 341400, 230800, 154100, 117300, 88400]",1652396400000,Seattle,"['rank', 'organizationName', 'country', 'industry', 'ceoName', 'marketValue', 'premiumProfile']",1994.0,http://www.amazon.com,False,//specials-images.forbesimg.com/imageserve/5d825aa26de3150009a4616c/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,http://specials-images.forbesimg.com/imageserve/57ff93e6a7ea4357a3e01f04/416x874.jpg?background=000000&cropX1=298&cropX2=739&cropY1=0&cropY2=925,http://specials-images.forbesimg.com/imageserve/57ff93e6a7ea4357a3e01f04/874x416.jpg?background=000000&cropX1=0&cropX2=1449&cropY1=89&cropY2=779,,,,,,
Global 2000,2022,5,apple,"Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises of China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries. Its products and services include iPhone, Mac, iPad, AirPods, Apple TV, Apple Watch, Beats products, Apple Care, iCloud, digital content stores, streaming, and licensing services. The company was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak on April 1, 1976 and is headquartered in Cupertino, CA.",7,global2000,"{'name': 'Apple', 'uri': 'apple', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c13d14731358e5b4339c564/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416', 'image': 'http://images.forbes.com/media/lists/companies/apple_416x416.jpg'}",True,7,Apple,California,1657897775257,fred/companies/F2K/2022/280,True,http://images.forbes.com/media/lists/companies/apple_416x416.jpg,Technology Hardware & Equipment,United States,378697.0,100555.0,381191.0,2640316.0,2.0,107.0,1.0,154000.0,6.0,Timothy Donald Cook,Chief Executive Officer,"[378697.0, 293971.0, 267712.0, 261705.0, 247535.0, 217481.0, 233273.0, 199378.0, 170866.0, 155971.0]","[381191.0, 354054.0, 320400.0, 373719.0, 367502.0, 331141.0, 293284.0, 261894.0, 207000.0, 176064.0]","[100555.0, 63930.0, 57215.0, 59431.0, 53318.0, 45217.0, 53731.0, 44462.0, 37037.0, 41733.0]","[154000, 147000, 137000, 132000, 80000, 116000, 110000, 92600, 80300, 76100]",1652396400000,Cupertino,"['rank', 'organizationName', 'country', 'industry', 'ceoName', 'marketValue', 'premiumProfile']",1976.0,http://www.apple.com,False,//specials-images.forbesimg.com/imageserve/5c13d14731358e5b4339c564/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,//specials-images.forbesimg.com/imageserve/580f8c9e31358e238316147e/416x874.jpg?background=000000&cropX1=308&cropX2=902&cropY1=0&cropY2=1248,//specials-images.forbesimg.com/imageserve/580f8c9e31358e238316147e/874x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=333&cropY2=927,,,,,,
Global 2000,2022,5,agricultural-bank-of-china,"Agricultural Bank of China engages in the provision of international commercial banking and financial services. It operates through the following segments: Corporate Banking, Personal Banking, Treasury Operations and Others & Unallocated. The Corporate Banking segment provides financial products and services to corporations, government agencies and financial institutions. The Personal Banking segment provides financial products and services to individual customers. The Treasury Operations segment conducts money market or repurchases transactions, debt instrument investments, and holding of derivative positions. The Others & Unallocated segment deals with primarily equity investments. The company was founded on July 10, 1951 and is headquartered in Beijing, China.",8,global2000,"{'name': 'Agricultural Bank of China', 'uri': 'agricultural-bank-of-china', 'imageExists': True, 'image': 'http://images.forbes.com/media/lists/companies/agricultural-bank-of-china_416x416.jpg'}",True,8,Agricultural Bank of China,,1657897776104,fred/companies/F2K/2022/80132,True,http://images.forbes.com/media/lists/companies/agricultural-bank-of-china_416x416.jpg,Banking,China,181420.0,37378.5,4561048.0,133385.0,10.0,3.0,88.0,455174.0,26.0,Huan Zhao,CEO,"[181420.0, 153919.81, 148691.77, 137456.0, 129345.34, 115698.0, 131888.25, 129221.0, 115080.12, 102805.88]","[4561048.0, 4159920.2, 3697450.8, 3293105.0, 3439314.5, 2816039.0, 2739835.0, 2574815.0, 2405408.8, 2125795.2]","[37378.5, 31300.195, 30911.59, 30894.0, 29638.684, 27797.5, 28808.73, 29124.49, 27053.285, 22995.258]","[455174, 459000, 464011, 473691, 487307, 496698, 503082, 493583, 478980, 461100]",1652396400000,Beijing,"['rank', 'organizationName', 'country', 'industry', 'ceoName', 'marketValue', 'premiumProfile']",1951.0,http://www.abchina.com,False,,,,,,,,,
Global 2000,2022,5,bank-of-america,"Bank of America Corp. is a bank and financial holding company, which engages in the provision of banking and nonbank financial services. It operates through the following segments: Consumer Banking, Global Wealth and Investment Management, Global Banking, Global Markets, and All Other. The Consumer Banking segment offers credit, banking, and investment products and services to consumers and small businesses. The Global Wealth and Investment Management provides client experience through a network of financial advisors focused on to meet their needs through a full set of investment management, brokerage, banking, and retirement products. The Global Banking segment deals with lending-related products and services, integrated working capital management and treasury solutions to clients, and underwriting and advisory services. The Global Markets segment includes sales and trading services, as well as research, to institutional clients across fixed-income, credit, currency, commodity, and equity businesses. The All Other segment consists of asset and liability management activities, equity investments, non-core mortgage loans and servicing activities, the net impact of periodic revisions to the mortgage servicing rights (MSR) valuation model for both core and non-core MSRs, other liquidating businesses, residual expense allocations and other. The company was founded by Amadeo Peter Giannini in 1904 is headquartered in Charlotte, NC.",9,global2000,"{'name': 'Bank of America', 'uri': 'bank-of-america', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5dc48a74ca425400073c4739/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416', 'image': 'http://images.forbes.com/media/lists/companies/bank-of-america_416x416.jpg'}",True,9,Bank of America,North Carolina,1657897778189,fred/companies/F2K/2022/477,True,http://images.forbes.com/media/lists/companies/bank-of-america_416x416.jpg,Banking,United States,96826.0,30995.0,3238223.0,303102.0,15.0,7.0,27.0,208000.0,83.0,Brian T. Moynihan,Chief Executive Officer,"[96826.0, 98841.0, 112065.0, 111904.0, 102978.0, 92214.0, 91496.0, 97021.0, 96934.0, 95073.0]","[3238223.0, 2832182.0, 2619954.0, 2377164.0, 2328478.0, 2196847.0, 2185498.0, 2114110.0, 2113758.0, 2225494.0]","[30995.0, 17894.0, 24129.0, 28540.0, 20294.0, 16563.0, 15844.0, 4833.0, 11429.0, 4186.0]","[208000, 213000, 208000, 204000, 209000, 208000, 213000, 224000, 242000, 267000]",1652396400000,Charlotte,"['rank', 'organizationName', 'country', 'industry', 'ceoName', 'marketValue', 'premiumProfile']",1904.0,http://www.bankofamerica.com,False,//specials-images.forbesimg.com/imageserve/5dc48a74ca425400073c4739/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,http://specials-images.forbesimg.com/imageserve/580f8de131358e23831614c5/416x874.jpg?background=000000&cropX1=335&cropX2=929&cropY1=0&cropY2=1248,http://specials-images.forbesimg.com/imageserve/580f8de131358e23831614c5/874x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=107&cropY2=701,,,,,,
Global 2000,2022,5,toyota-motor,"Toyota Motor Corp. engages in the manufacture and sale of motor vehicles and parts. It operates through the following segments: Automotive, Financial Services, and All Other. The Automotive segment designs, manufactures, assembles and sells passenger cars, minivans, trucks, and related vehicle parts and accessories. It is also involved in the development of intelligent transport systems. The Financial Services segment offers purchase or lease financing to Toyota vehicle dealers and customers. It also provides retail leasing through lease contracts purchase by dealers. The All Others segment deals with the design and manufacture and sale of housing, telecommunications and other businesses. The company was founded by Kiichiro Toyoda on August 28, 1937 and is headquartered in Toyota, Japan.",10,global2000,"{'name': 'Toyota Motor', 'uri': 'toyota-motor', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5cd9d4dc169cc600095f24b9/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416', 'image': 'http://images.forbes.com/media/lists/companies/toyota-motor_416x416.jpg'}",True,10,Toyota Motor,,1657897778438,fred/companies/F2K/2022/4420,True,http://images.forbes.com/media/lists/companies/toyota-motor_416x416.jpg,Consumer Durables,Japan,281746.0,28154.4,552456.0,237726.0,17.0,74.0,38.0,366283.0,10.0,Akio Toyoda,Chief Executive Officer,"[281746.0, 249369.98, 280528.62, 272144.0, 265164.75, 249902.0, 235831.55, 252185.0, 266131.44, 235350.83]","[552456.0, 561870.44, 495064.47, 465625.0, 473044.1, 412496.0, 406691.8, 389692.84, 377401.88, 372452.34]","[28154.4, 14341.663, 22681.934, 17241.0, 22502.232, 17111.5, 19266.97, 19120.406, 11605.311, 3591.105]","[366283, 359542, 370870, 369124, 136000, 348877, 338875, 333498, 325905]",1652396400000,Toyota,"['rank', 'organizationName', 'country', 'industry', 'ceoName', 'marketValue', 'premiumProfile']",1937.0,http://www.toyota.co.jp,False,//specials-images.forbesimg.com/imageserve/5cd9d4dc169cc600095f24b9/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,http://specials-images.forbesimg.com/imageserve/5810bf154bbe6f0ad5da9e7c/416x874.jpg?background=000000&cropX1=184&cropX2=580&cropY1=0&cropY2=832,http://specials-images.forbesimg.com/imageserve/5810bf154bbe6f0ad5da9e7c/874x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=263&cropY2=659,,,,,,
