"name","industry_label_list","revenue","netIncome","equity","numEmployees","locationCity_list","stockSymbol","tradedAs_list","ceo_name_list","foundingDate","founded_list"
"A&W (Canada)","Fast food","1.34E9",,,20000,"",,"","",,""
"ALTEN","Consultant,Information technology,Outsourcing","2.269E9",,,33700,"",,"","",,""
"AMC Theatres","Entertainment","1.2424E9",,,4408,"",,"","",,""
"APA Corporation","Petroleum industry","4.308E9",,,3163,"",,"","",,""
"AFC Ajax N.V.","Sport industry","1.18E8",,,339,"",,"","",,""
"Mohawk Industries","Conglomerate (company)","1.0E10",,,42100,"",,"","",,""
"Mondelez International","Food processing","2.587E10",,,80000,"",,"","",,""
"Monzo","Financial services","67.2",,,1551,"",,"","",,""
"Mostogradnja","Bridge","8110000.0",,,447,"",,"","",,""
"ANC Sports","Sports marketing","6.0E7",,,230,"",,"","",,""
"Wawa (company)","Convenience store,Fast food,Filling station","1.3E10",,,37000,"",,"","",,""
"Eneos","List of oil exploration and production companies","7523.0",,,13290,"",,"","",,""
"West Pharmaceutical Services","Medical device,Pharmaceutical industry","1849.0",,,8200,"",,"","",,""
"Fazioli","Musical instrument","1.0E7",,,50,"",,"","",,""
"Werner & Mertz","Chemical industry","4.55E8",,,1050,"",,"","",,""
"Wesfarmers","Conglomerate (company)","3.08E10",,,107000,"",,"","",,""
"Far East Global Group","Construction","1296.0",,,1429,"",,"","",,""
"Enerpac Tool Group","Conglomerate (company)","1.2E9",,,5400,"",,"","",,""
"Washington Prime Group","Real estate investment trust","6.61E8",,,845,"",,"","",,""
"Wessex Water","Water industry","5.477E8",,,2547,"",,"","",,""
"Entergy","Energy industry","1.0113E10",,,13504,"",,"","",,""
"Euronics","Retail","1.88E10",,,50000,"",,"","",,""
"Evergy","Electric utility","5.148E9",,,5000,"",,"","",,""
"Air New Zealand","Airline","-7.2E7",,,9988,"",,"","",,""
"Air Nostrum","Airline","5.0E8",,,1500,"",,"","",,""
"Envision Healthcare","Health care","1.47E10",,,57750,"",,"","",,""
"Ernst & Young","Professional services","4.0E10",,,312250,"",,"","",,""
"Aker Solutions","List of oilfield service companies","22461.0",,,13796,"",,"","",,""
"All Nippon Airways","Airline","1.974E12",,,45849,"",,"","",,""
"Atlas Energy","Energy","1.59",,,978,"",,"","",,""
"Atwoods","Retail","3.16E8",,,1500,"",,"","",,""
"Audi","Automotive industry","5.568E10",,,90783,"",,"","",,""
"Augstsprieguma tīkls","Electricity","1.8577E8",,,548,"",,"","",,""
"Alaska Air Group","Transport","8.264E9",,,23376,"",,"","",,""
"Alenia Aeronautica","Aerospace,Arms industry","2.53E9",,,13910,"",,"","",,""
"Aspen Pharmacare","Health care,Pharmaceutical industry","4.2596E10",,,10676,"",,"","",,""
"Asteelflash Group","Electronics manufacturing services","1.048E9",,,5700,"",,"","",,""
"Atlas Mara Limited","Bank,Finance","4.2E8",,,6500,"",,"","",,""
"Alibaba Group","Technology company","1.0948E11",,,251462,"",,"","",,""
"Avianca Brasil","Airline","7.2E8",,,1687,"",,"","",,""
"BIOVIA","Academy,Aerospace,Automotive industry,Energy,Fast-moving consumer goods,List of life sciences,Manufacturing,Materials science,Technology","1.55E8",,,700,"",,"","",,""
"BICO Group","3D bioprinting,Biotechnology,Medical device","4880000.0",,,200,"",,"","",,""
"BLG Logistics","Logistics","1.065E9",,,11609,"",,"","",,""
"BW Offshore","Petroleum industry","9.824E8",,,2201,"",,"","",,""
"Babylon Health","Health care","7.9E7",,,2189,"",,"","",,""
"Axiall","Chemical industry","8.6E9",,,9500,"",,"","",,""
"BTG Pactual","Financial services","1.8E9",,,3515,"",,"","",,""
"Aviat Networks","Telecommunications","243858.0",,,708,"",,"","",,""
"BAZAN Group","Petrochemical industry","1.352E10",,,1800,"",,"","",,""
"Donaldson Company","Filtration,Membrane,Valve","2220.3",,,11700,"",,"","",,""
"Dorothy Lane Market","Grocery store","1.0E8",,,800,"",,"","",,""
"Centergazservice-opt","Carbon,Electricity generation,Natural gas","4.0",,,50,"",,"","",,""
"Poundland","Retail","1.31E9",,,18000,"",,"","",,""
