"name","industry_label_list","revenue","numEmployees","locationCity_list","stockSymbol","tradedAs_list","ceo_name_list","foundingDate","founded_list"
"AES Corporation","Energy",,8000,"",,"","",,""
"AMC Theatres","Entertainment",,4408,"",,"","",,""
"50Hertz Transmission GmbH","Electricity",,1043,"",,"","",,""
"AKG (company)","Acoustics,Manufacturing",,170,"",,"","",,""
"4A Games","Video game industry",,146,"",,"","",,""
"A-1 Pictures","Animation studio",,151,"",,"","",,""
"Mohawk Airlines","Airline",,2200,"",,"","",,""
"AT&T","Entertainment,Mass media,Technology company,Telecommunications industry",,230000,"",,"","",,""
"Motorway (brand)","Automotive industry",,300,"",,"","",,""
"Mollie Stone's Markets","Retail",,1300,"",,"","",,""
"ASI (Archaeological Services Inc.)","Archaeology",,52,"",,"","",,""
"ASI (Archaeological Services Inc.)","Archaeology",,100,"",,"","",,""
"ASOS (retailer)","Clothing industry,Online shopping",,4000,"",,"","",,""
"Morgan Motor Company","Car",,246,"",,"","",,""
"Motorola Mobility","Consumer electronics",,1001,"",,"","",,""
"MoneyGram","Financial services",,2269,"",,"","",,""
"Moody's Analytics","Financial services",,10600,"",,"","",,""
"Mr. Pizza","Restaurant",,250,"",,"","",,""
"Moto Hospitality","Hospitality",,6000,"",,"","",,""
"Motive Studios","Video game industry",,100,"",,"","",,""
"Borqs","Internet of things",,200,"",,"","",,""
"Borealis AG","Petrochemical industry",,6900,"",,"","",,""
"AT&T Mobility","Telecommunications",,75000,"",,"","",,""
"West Monroe Partners","Bank,Capital market,Credit union,Distribution (marketing),Energy,Health care,Insurance,List of life sciences,Management consulting,Manufacturing,Private equity,Public utility,Retail,Technology",,2250,"",,"","",,""
"WayRay","Automotive industry",,250,"",,"","",,""
"Wellspring Capital Management","Private equity",,4800,"",,"","",,""
"WestRock","Corrugated fiberboard",,51100,"",,"","",,""
"Weichai Power","Engine",,81600,"",,"","",,""
"EE Technologies","Electronics manufacturing services",,300,"",,"","",,""
"Wausau Paper","Pulp and paper industry",,870,"",,"","",,""
"Welspun Corp","Construction",,24000,"",,"","",,""
"Wemy industries","Fast-moving consumer goods",,201,"",,"","",,""
"Waters Corporation","List of life sciences",,7500,"",,"","",,""
"Western Forest Products","Forest product",,2004,"",,"","",,""
"EM Solutions","Communication,Military",,50,"",,"","",,""
"Westcoast Limited","Computing",,1600,"",,"","",,""
"Weingarten Realty","Real estate investment trust",,243,"",,"","",,""
"MyGate","Information technology",,1550,"",,"","",,""
"Weatherzone","Meteorology",,60,"",,"","",,""
"E-Plus","Telecommunications",,4000,"",,"","",,""
"EMS Technologies","Telecommunications",,1900,"",,"","",,""
"Air Kiribati","Airline",,71,"",,"","",,""
"Energoinvest","Engineering",,350,"",,"","",,""
"Enterr10 Television Network","Entertainment,Mass media",,55,"",,"","",,""
"ElringKlinger","Automotive industry,Manufacturing",,9724,"",,"","",,""
"Endemol Shine Group","Film distributor,Television show",,6500,"",,"","",,""
"Al Dahra Agricultural Company","Agriculture",,1001,"",,"","",,""
"Empower (company)","Advertising,Marketing,Media (communication)",,200,"",,"","",,""
"Enviva","Renewable energy",,1000,"",,"","",,""
"Fedrigoni","Manufacturing,Paper",,2000,"",,"","",,""
"Enerpac Tool Group","Conglomerate (company)",,5400,"",,"","",,""
"Envestnet","Financial services",,4250,"",,"","",,""
"Equitable Bank","Bank",,800,"",,"","",,""
"AirPlus International","Payment system",,1300,"",,"","",,""
"Airbus Helicopters, Inc.","Aerospace",,780,"",,"","",,""
"Tenami","Video game",,1,"",,"","",,""
"Hanna Andersson","Retail",,400,"",,"","",,""
"Harold's","Retail",,624,"",,"","",,""
"InterVideo","Software",,803,"",,"","",,""
"Essity","Final good",,46000,"",,"","",,""
"Esimene Eesti Põlevkivitööstus","Petroleum industry",,2680,"",,"","",,""
"Novatium","Utility computing",,100,"",,"","",,""
"Trivandrum Rubber Works","Manufacturing",,163,"",,"","",,""
"Happy Plugs","Consumer electronics,Sound recording and reproduction",,25,"",,"","",,""
"Ernst & Young","Professional services",,312250,"",,"","",,""
"Erste Group","Financial services",,47230,"",,"","",,""
"Eurobank Ergasias","Financial services",,11,"",,"","",,""
"Sofradir","Military,Outer space",,1050,"",,"","",,""
"Magic Pixel Games","Video game industry",,25,"",,"","",,""
"11 Bit Studios","Video game industry",,150,"",,"","",,""
"ErgoGroup","Information technology",,3750,"",,"","",,""
"Ashok Leyland","Automotive industry",,11463,"",,"","",,""
"Aker Verdal","Shipyard",,700,"",,"","",,""
"Ashton-Tate","Software",,1750,"",,"","",,""
"Alim Industries Limited","Agriculture",,350,"",,"","",,""
"Air Squared","Aerospace,Electric vehicle,Fuel cell,Medical device,Tritium",,120,"",,"","",,""
"Alivecor","Artificial intelligence,Medical device",,50,"",,"","",,""
"Alexandria Shipyard","Arms industry,Shipbuilding",,2700,"",,"","",,""
"Alight Solutions","Professional services",,15000,"",,"","",,""
"Alinma Bank","Finance",,2658,"",,"","",,""
"Alfa-Bank (Ukraine)","Financial services",,6500,"",,"","",,""
"Albras","Aluminium",,7800,"",,"","",,""
"Alenia Aermacchi","Aeronautics",,10483,"",,"","",,""
"Akella","Video game industry",,250,"",,"","",,""
"Asus","Computer hardware,Electronics,Networking hardware",,14700,"",,"","",,""
"Associated British Foods","Food processing,Retail",,128000,"",,"","",,""
"Aspen Pharmacare","Health care,Pharmaceutical industry",,10676,"",,"","",,""
"Asteelflash Group","Electronics manufacturing services",,5700,"",,"","",,""
"Athabasca Oil Corporation","Fossil fuel",,60,"",,"","",,""
"Atresmedia","Mass media",,2527,"",,"","",,""
"Atlantic Coast Financial","Bank,Financial services",,174,"",,"","",,""
"Atommash","Nuclear engineering",,3188,"",,"","",,""
"AviaAM Leasing","Aircraft lease",,20,"",,"","",,""
"Avianca Brasil","Airline",,1687,"",,"","",,""
"Avex Inc.","Communication,Entertainment,Information,Music industry",,1455,"",,"","",,""
"Aviron Pictures","Film industry",,11,"",,"","",,""
"Avanos Medical","Health care",,5380,"",,"","",,""
"Ayngaran International","Film distribution",,67,"",,"","",,""
"BICO Group","3D bioprinting,Biotechnology,Medical device",,200,"",,"","",,""
"BCE Inc.","Mass media,Telecommunications",,52100,"",,"","",,""
"Axalta","Coating",,12650,"",,"","",,""
"BBBank","Cooperative banking",,1491,"",,"","",,""
"BKD, LLP","Professional services",,2970,"",,"","",,""
"BGL Group","Financial services",,2852,"",,"","",,""
"Ayam Brand","Food processing",,1000,"",,"","",,""
"B&N Bank","Bank",,4000,"",,"","",,""
"Avro Canada","Aerospace",,50000,"",,"","",,""
"Avature","Human resource management system",,987,"",,"","",,""
"Discovery, Inc.","Mass media",,9800,"",,"","",,""
"Dolphin Music","Musical instrument",,25,"",,"","",,""
"Domino's Pizza Israel","Fast food restaurant",,1250,"",,"","",,""
"Disney Interactive","Video game industry",,2000,"",,"","",,""
"BSNL Mobile","Telecommunications",,63966,"",,"","",,""
"Potbelly Sandwich Shop","Fast casual restaurant",,6000,"",,"","",,""
"Dynetics","Aerospace,Arms industry,Automotive industry,Computer security,Information technology",,1900,"",,"","",,""
"Cedar Falls Utilities","Public utility",,196,"",,"","",,""
"PostNord","Mail",,28821,"",,"","",,""
"Dunnes Stores","Retail",,15000,"",,"","",,""
"Princess Auto","Retail",,3000,"",,"","",,""
"Powermat Technologies","Consumer electronics,Inductive charging",,100,"",,"","",,""
"Drass (company)","Arms industry,Marine engineering",,200,"",,"","",,""
"Dynatrace","Application security,Artificial Intelligence for IT Operations,Business analytics,Experience management,IT infrastructure,IT operations analytics,Observability",,3000,"",,"","",,""
"DreamWorks Classics","Intellectual property",,80,"",,"","",,""
"Cell Signaling Technology","List of life sciences,Manufacturing",,500,"",,"","",,""
"Drop (company)","Consumer electronics",,100,"",,"","",,""
"Pricing Partners Cie","Financial services",,25,"",,"","",,""
"Principality Building Society","Bank,Financial services",,1092,"",,"","",,""
"Dorset Cereals","Food processing",,100,"",,"","",,""
"Doral Financial Corporation","Bank",,1154,"",,"","",,""
"DreamWorks Animation","Animation",,1400,"",,"","",,""
"Dudek Paragliders","Aerospace",,140,"",,"","",,""
"Dovetail Games","Video game industry",,140,"",,"","",,""
"Dragon Group","Textile manufacturing",,6500,"",,"","",,""
"Pure Romance","Multi-level marketing",,170,"",,"","",,""
"Qnet","Multi-level marketing",,1500,"",,"","",,""
"Public Power Corporation","Energy",,14,"",,"","",,""
"SAIC Iveco Hongyan","Automotive industry",,5000,"",,"","",,""
"Punjab State Power Corporation","Electric power distribution,Electricity generation",,35933,"",,"","",,""
"Provigo","Retail,Supermarket",,5700,"",,"","",,""
"Publix","Retail",,225000,"",,"","",,""
"Prvi Partizan","Ammunition",,1596,"",,"","",,""
"Profire Energy","Petroleum industry",,111,"",,"","",,""
"Prosafe SE","Petroleum industry",,401,"",,"","",,""
"Quaker State","Petroleum industry",,7400,"",,"","",,""
"Putnam Investments","Financial services",,1700,"",,"","",,""
"Public Storage","Real estate investment trust,Self storage",,5500,"",,"","",,""
"Pundt & Kohnert","Timber trade",,150,"",,"","",,""
"Progresif","Telecommunications",,134,"",,"","",,""
"QSC AG","Telecommunications",,610,"",,"","",,""
"ST Engineering","Engineering,Information and communications technology,Military",,23000,"",,"","",,""
"SANRAL","Road transport",,397,"",,"","",,""
"Saft (company)","Electric battery",,4000,"",,"","",,""
"SF Film Finland","Film industry",,26,"",,"","",,""
"Sainsbury's","Retail",,180000,"",,"","",,""
"SOCAR","Petroleum industry",,100000,"",,"","",,""
"SONIDEP","Petroleum industry",,154,"",,"","",,""
"Sahara India Pariwar","Conglomerate (company)",,1200000,"",,"","",,""
"SBI General Insurance","Financial services",,21000,"",,"","",,""
"SS&C Technologies","Financial technology",,24600,"",,"","",,""
"Sadia","Food processing",,60580,"",,"","",,""
"SES Americom","Communications satellite",,414,"",,"","",,""
"Saidpur railway workshop","Rail transport",,2825,"",,"","",,""
"Sal's Pizza","Restaurant",,300,"",,"","",,""
"Saab Aeronáutica Montagens","Aerospace",,60,"",,"","",,""
"SUNeVision","Information technology",,250,"",,"","",,""
"Satellogic","Data science,Digital image processing,Earth observation satellite,Spacecraft design",,330,"",,"","",,""
"Samsung Heavy Industries","Engineering,Naval architecture,Shipbuilding",,11897,"",,"","",,""
"Santana Motor","Automotive industry",,1341,"",,"","",,""
"SaskPower","Electric utility",,3100,"",,"","",,""
"Saravana Stores","Retail",,10000,"",,"","",,""
"Sasken Technologies","Data center,Manufacturing,Product engineering,Semiconductor,Technology company,Telecommunications industry",,2000,"",,"","",,""
"Scan-Optics","Computer data storage,Enterprise information management,Software",,51,"",,"","",,""
"Saxo Bank","Bank,Broker,Investment,Trade",,2224,"",,"","",,""
"Sanmina Corporation","Electronics manufacturing services",,40000,"",,"","",,""
"Scentre Group","Real estate development,Shopping mall",,2586,"",,"","",,""
"Salem Media Group","Mass media,Radio broadcasting",,1173,"",,"","",,""
"Savita Oil Technologies Limited","Petroleum industry",,500,"",,"","",,""
"CineMagic Co.","Pornography",,25,"",,"","",,""
"Cirrus Insight","Customer relationship management",,57,"",,"","",,""
"Sbanken","Financial services",,400,"",,"","",,""
"Schlumberger","Petroleum reservoir",,86000,"",,"","",,""
"Sapphire Textile","Textile",,12000,"",,"","",,""
"Satrec Initiative","Aerospace engineering",,294,"",,"","",,""
"Salzburg Research","Applied science",,59,"",,"","",,""
"Salient CRGT","Information technology,Military",,2000,"",,"","",,""
"San Cristóbal mine (Bolivia)","Mining",,1400,"",,"","",,""
"Serbian Railways","Engineering,Management consulting",,200,"",,"","",,""
"Česká zbrojovka Group","Automotive industry,Firearm",,1625,"",,"","",,""
"Sentinel Capital Partners","Private equity",,35,"",,"","",,""
"Coral Press","Publishing",,3,"",,"","",,""
"Scientist.com (company)","Online marketplace,Science",,60,"",,"","",,""
"Securus Technologies","Corrections,Telecommunications",,1000,"",,"","",,""
"Senate Properties","Real estate",,277,"",,"","",,""
"Seabra Foods","Retail",,2000,"",,"","",,""
"Coop Norge","Retail",,2564,"",,"","",,""
"Securitas Services d.o.o.","Security",,3893,"",,"","",,""
"Usedomer Bäderbahn","Transport",,159,"",,"","",,""
"Scriptorium Fonts","Type foundry",,5,"",,"","",,""
"Scomi","Fossil fuel,Public transport",,9000,"",,"","",,""
"Secretlab","Furniture",,200,"",,"","",,""
"Science Exchange (company)","Online marketplace",,94,"",,"","",,""
"Coppenrath & Wiese","Food",,2200,"",,"","",,""
"İlbank","Finance,Insurance",,2467,"",,"","",,""
"Sealed Air","Conglomerate (company)",,16500,"",,"","",,""
"Secora","Construction",,97,"",,"","",,""
"Seele GmbH","Construction",,1000,"",,"","",,""
"Monarch Airlines","Airline",,2300,"",,"","",,""
"Mas Air","Airline",,180,"",,"","",,""
"Sky Lease Cargo","Airline",,120,"",,"","",,""
"Electrabel","Energy",,4302,"",,"","",,""
"FTE automotive","Automotive industry",,3800,"",,"","",,""
"Laing O'Rourke","Civil engineering,Construction",,12796,"",,"","",,""
"Shearwater Research","Corporation",,50,"",,"","",,""
"Function Drinks","Drink",,50,"",,"","",,""
"Royal LePage","Real estate",,18000,"",,"","",,""
"J. Lauritzen A/S","Freight transport",,1100,"",,"","",,""
"Electronic Express","Retail",,350,"",,"","",,""
"Schuh","Retail",,4000,"",,"","",,""
"Second Story Interactive Studios","Interactive design",,30,"",,"","",,""
"Luckett & Farley","Architecture,Interior design,Procurement",,118,"",,"","",,""
"Thales Air Defence","Arms industry",,492,"",,"","",,""
"Eiffel (company)","Construction",,4100,"",,"","",,""
"First National Bank of Omaha","Financial services",,4320,"",,"","",,""
"Schumacher Racing Products","Racing",,30,"",,"","",,""
"Linx (railway company)","Rail transport",,170,"",,"","",,""
"Fokker Technologies","Aerospace",,4950,"",,"","",,""
"Fairfield Greenwich Group","Investment management",,140,"",,"","",,""
"Sony Pictures Entertainment Japan","Outline of entertainment",,226,"",,"","",,""
"Yoshimoto Kogyo","Entertainment,Production company,Talent agent",,610,"",,"","",,""
"Smith & Tinker","Entertainment",,40,"",,"","",,""
"Ziebart","Automotive aftermarket",,578,"",,"","",,""
"Ursus SA","Agricultural machinery,Automotive industry",,794,"",,"","",,""
"Witte Automotive","Automotive industry",,4600,"",,"","",,""
"Hoare Lea","Consultant",,800,"",,"","",,""
"Zelle (payment service)","Mobile app,Payment system",,12,"",,"","",,""
"Singingfish","Search engine",,50,"",,"","",,""
"Unu (company)","Scooter (motorcycle)",,75,"",,"","",,""
"Abaxis","Health technology",,580,"",,"","",,""
"Hoffman & Associates","Real estate development",,50,"",,"","",,""
"Press Pass, Inc.","Collectable,Lithography",,4,"",,"","",,""
"Glarner Kantonalbank","Financial services",,174,"",,"","",,""
"Access Bank Rwanda","Financial services",,150,"",,"","",,""
"Ummah Foods","Confectionery",,4,"",,"","",,""
"Xona Games","Video game industry",,2,"",,"","",,""
"Wind Telecom","Telecommunications",,7000,"",,"","",,""
"Access Communications","Telecommunications",,300,"",,"","",,""
"Adaro Energy","Coal,Logistics,Power station,Water",,23000,"",,"","",,""
"Adcock Ingram","Health care,Medication",,2600,"",,"","",,""
"Adani Group","Conglomerate (company)",,23000,"",,"","",,""
"Acushnet Company","Sports equipment",,3000,"",,"","",,""
"Adafruit Industries","Open-source hardware",,105,"",,"","",,""
"Africa World Airlines","Airline",,381,"",,"","",,""
"Air China","Airline",,50000,"",,"","",,""
"De Dietrich Remeha","Central heating",,2300,"",,"","",,""
"Advent International","Private equity",,475,"",,"","",,""
"De'Longhi","Home appliance",,2020,"",,"","",,""
"Agat Films & Cie – Ex Nihilo","Film",,200,"",,"","",,""
"Affiliated Foods Midwest","Retail",,800,"",,"","",,""
"DbMotion","Health care",,7000,"",,"","",,""
"DeWalt","Manufacturing",,13000,"",,"","",,""
"Aditya Birla Group","Conglomerate (company)",,140000,"",,"","",,""
"Agropur","Dairy product",,8000,"",,"","",,""
"Aetna","Managed care",,47950,"",,"","",,""
"Agricultural Bank of China","Bank,Financial services",,467631,"",,"","",,""
"Daycoval","Financial services",,1000,"",,"","",,""
"Adinotec","Road,Technology",,5,"",,"","",,""
"AgonSwim","Clothing industry",,9,"",,"","",,""
"Diamond Castle Holdings","Private equity",,25,"",,"","",,""
"Deep Web Technologies","Software",,15,"",,"","",,""
"Devon Energy","Petroleum industry",,1400,"",,"","",,""
"Dean Guitars","Musical instrument",,100,"",,"","",,""
"Development Bank of Southern Africa","Finance",,600,"",,"","",,""
"Dexia","Financial services",,22461,"",,"","",,""
"Delta Bank","Bank,Investment",,0,"",,"","",,""
"Descente","Textile industry",,1839,"",,"","",,""
"Del Taco","Restaurant",,8000,"",,"","",,""
"Debiopharm","Biopharmaceutical",,420,"",,"","",,""
"Digikala","E-commerce",,8200,"",,"","",,""
"ECOtality","Consultant,Hybrid vehicle,Renewable energy,Vehicle inspection",,32,"",,"","",,""
"Dillinger Hütte","Steel",,5296,"",,"","",,""
"Dillons","Grocery store,Retail",,11500,"",,"","",,""
"EBags.com","Retail",,100,"",,"","",,""
"EFunds Corporation","Electronic funds transfer,Financial services,Retail",,5000,"",,"","",,""
"Eddie Bauer","Retail",,7000,"",,"","",,""
"EToro","Cryptocurrency exchange,Electronic trading platform,Financial services,Socially responsible investing",,1200,"",,"","",,""
"ECourier","Logistics",,230,"",,"","",,""
"Edgewood Management","Public company",,36,"",,"","",,""
"Direct Line Group","Insurance",,10500,"",,"","",,""
"EBSCO Industries","Conglomerate (company)",,5000,"",,"","",,""
"EPAM Systems","Software engineering",,58800,"",,"","",,""
"EastWest Bank","Financial services",,6664,"",,"","",,""
"East Town Railway Workshops","Rail transport",,450,"",,"","",,""
